experiment,date,diagnostic,module_path,module_type,mean,min,max,experiment_label
signed_lkj_eta_2,2025-05-30,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,192.1206384265599,192.1206384265599,192.1206384265599,signed_lkj_eta_2
signed_lkj_eta_2,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,4.127920355109946e-05,4.127920355109946e-05,4.127920355109946e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,1.3121419320922358,1.3121419320922358,1.3121419320922358,signed_lkj_eta_2
signed_lkj_eta_2,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,8.641829058120552e-06,8.641829058120552e-06,8.641829058120552e-06,signed_lkj_eta_2
signed_lkj_eta_2,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,0.9873937479837928,0.1799437243878721,1.648235860596766,signed_lkj_eta_2
signed_lkj_eta_2,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.2,MaternKernel,0.2919923293850684,0.2919923293850684,0.2919923293850684,signed_lkj_eta_2
signed_lkj_eta_2,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel,MaternKernel,0.6976134277192446,0.1031534510192012,1.6373391424133892,signed_lkj_eta_2
signed_lkj_eta_2,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.3,RQKernel,2.620500665182592e-05,2.620500665182592e-05,2.620500665182592e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.3.base_kernel,RQKernel,0.8021203908813213,0.4320800797793007,1.2775257819195898,signed_lkj_eta_2
signed_lkj_eta_2,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.4,LinearKernel,0.0003789279402599,0.0003789279402599,0.0003789279402599,signed_lkj_eta_2
signed_lkj_eta_2,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.5,ProductKernel,8.398371137209735e-06,8.398371137209735e-06,8.398371137209735e-06,signed_lkj_eta_2
signed_lkj_eta_2,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.0,MaternKernel,0.3179252661050027,0.3179252661050027,0.3179252661050027,signed_lkj_eta_2
signed_lkj_eta_2,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.1,MaternKernel,0.8831504792697564,0.3155253343991889,1.3524722630965156,signed_lkj_eta_2
signed_lkj_eta_2,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.6,ProductKernel,5.737912311575039e-05,5.737912311575039e-05,5.737912311575039e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.0,MaternKernel,0.4623351663346171,0.4623351663346171,0.4623351663346171,signed_lkj_eta_2
signed_lkj_eta_2,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.0,MaternKernel,0.7813535093122228,0.6702861954780985,0.8902811271177432,signed_lkj_eta_2
signed_lkj_eta_2,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.1,RQKernel,0.8126147010437959,0.7046300610502166,0.9259214446746488,signed_lkj_eta_2
signed_lkj_eta_2,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.7,ProductKernel,4.598409098665298e-05,4.598409098665298e-05,4.598409098665298e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.0,MaternKernel,0.8237738465691413,0.817414366531641,0.8355561849279222,signed_lkj_eta_2
