experiment,date,diagnostic,module_path,module_type,mean,min,max,scale_index,base_kernel_type,outputscale_floor,outputscale_prior_median,outputscale_prior_sigma
component_outputscale_floor,2025-05-30,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,8.191501159008912e-120,8.191501159008911e-120,8.191501159008911e-120,,,,,
component_outputscale_floor,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,0.030534068093339868,0.030534068093339868,0.030534068093339868,,,,,
component_outputscale_floor,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,0.14326411273557924,0.14326411273557924,0.14326411273557924,,,,,
component_outputscale_floor,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,0.011461397235078363,0.011461397235078363,0.011461397235078363,,,,,
component_outputscale_floor,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,0.9013334087357872,0.3348516509163512,2.084092650884905,,,,,
component_outputscale_floor,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.2,MaternKernel,0.016728001522134495,0.016728001522134495,0.016728001522134495,,,,,
component_outputscale_floor,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel,MaternKernel,0.7460401522707071,0.5963480476857632,0.8274883659568728,,,,,
component_outputscale_floor,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.3,RQKernel,0.015144038567092741,0.015144038567092741,0.015144038567092741,,,,,
component_outputscale_floor,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.3.base_kernel,RQKernel,0.7667756882960258,0.6498804897278218,0.8285093048530682,,,,,
component_outputscale_floor,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.4,LinearKernel,0.014553979875821781,0.014553979875821781,0.014553979875821781,,,,,
component_outputscale_floor,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.5,ProductKernel,0.03100861068377169,0.03100861068377169,0.03100861068377169,,,,,
component_outputscale_floor,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.0,MaternKernel,0.09242981964411703,0.09242981964411703,0.09242981964411703,,,,,
component_outputscale_floor,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.1,MaternKernel,1.0773980101524647,0.2168903694591078,2.7349964490294414,,,,,
component_outputscale_floor,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.6,ProductKernel,0.13543216146263193,0.13543216146263193,0.13543216146263193,,,,,
