experiment,date,diagnostic,module_path,module_type,mean,min,max
signed_lkj_eta_2_lengthscale_floor,2025-05-30,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,191.6199515032473,191.61995150324734,191.61995150324734
signed_lkj_eta_2_lengthscale_floor,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,3.9651344773443976e-05,3.9651344773443976e-05,3.9651344773443976e-05
signed_lkj_eta_2_lengthscale_floor,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,1.3068659384477292,1.3068659384477292,1.3068659384477292
signed_lkj_eta_2_lengthscale_floor,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,8.483491972688875e-06,8.483491972688875e-06,8.483491972688875e-06
signed_lkj_eta_2_lengthscale_floor,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,0.9860946792733074,0.17986279220390183,1.6458455411369495
signed_lkj_eta_2_lengthscale_floor,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.2,MaternKernel,0.29560516643676754,0.29560516643676754,0.29560516643676754
signed_lkj_eta_2_lengthscale_floor,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel,MaternKernel,0.6988804984522532,0.1030214879161376,1.6346481304151355
signed_lkj_eta_2_lengthscale_floor,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.3,RQKernel,2.5521514964515917e-05,2.5521514964515917e-05,2.5521514964515917e-05
signed_lkj_eta_2_lengthscale_floor,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.3.base_kernel,RQKernel,0.801909645648781,0.43329017940396264,1.2755952171021305
signed_lkj_eta_2_lengthscale_floor,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.4,LinearKernel,0.0003726000421087285,0.0003726000421087285,0.0003726000421087285
signed_lkj_eta_2_lengthscale_floor,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.5,ProductKernel,8.19432021844687e-06,8.19432021844687e-06,8.19432021844687e-06
signed_lkj_eta_2_lengthscale_floor,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.0,MaternKernel,0.31649305355040175,0.31649305355040175,0.31649305355040175
signed_lkj_eta_2_lengthscale_floor,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.1,MaternKernel,0.8818469601627974,0.3169983973011067,1.3490487253369117
signed_lkj_eta_2_lengthscale_floor,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.6,ProductKernel,5.5584772221923195e-05,5.5584772221923195e-05,5.5584772221923195e-05
signed_lkj_eta_2_lengthscale_floor,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.0,MaternKernel,0.457837965498448,0.457837965498448,0.457837965498448
