experiment,date,diagnostic,module_path,module_type,mean,min,max
turnover_blend,2025-05-30,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,2.525217557947998e-71,2.525217557947998e-71,2.525217557947998e-71
turnover_blend,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,0.33603644479829364,0.33603644479829364,0.33603644479829364
turnover_blend,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,0.12350312348652467,0.12350312348652467,0.12350312348652467
turnover_blend,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,0.0009382091316773583,0.0009382091316773583,0.0009382091316773583
turnover_blend,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,1.0033200350753324,0.2645163749097317,2.2977916406876453
turnover_blend,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.2,MaternKernel,0.526929219580948,0.526929219580948,0.526929219580948
turnover_blend,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel,MaternKernel,0.5127891557135007,0.10785088030426272,0.8931556969139387
turnover_blend,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.3,RQKernel,0.002843794426060935,0.002843794426060935,0.002843794426060935
turnover_blend,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.3.base_kernel,RQKernel,0.7418951097890736,0.4490326183516483,0.9564742455219163
turnover_blend,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.4,LinearKernel,0.0069259651232625764,0.0069259651232625764,0.0069259651232625764
turnover_blend,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.5,ProductKernel,0.06982983114207685,0.06982983114207685,0.06982983114207685
turnover_blend,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.0,MaternKernel,0.03342953523421833,0.03342953523421833,0.03342953523421833
turnover_blend,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.1,MaternKernel,1.3958538875154531,0.32993174129740854,3.6798455702706887
turnover_blend,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.6,ProductKernel,0.016324653420927444,0.016324653420927444,0.016324653420927444
turnover_blend,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.0,MaternKernel,0.16705569958855473,0.16705569958855473,0.16705569958855473
turnover_blend,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.0,MaternKernel,0.7774233651067559,0.710816371638067,0.8296964753941938
turnover_blend,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.1,RQKernel,0.7880496953986457,0.7173146179487284,0.83464077453123
turnover_blend,2025-05-30,outputscale,covar_module.kernels.0.base_kernel.kernels.7,ProductKernel,0.0029244560376603906,0.0029244560376603906,0.0029244560376603906
turnover_blend,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.0,MaternKernel,0.7757618745637687,0.7373696348676247,0.8639796099539221
turnover_blend,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.1,RQKernel,0.7754124670099654,0.7251164382794304,0.8704928942223242
turnover_blend,2025-05-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.1,MaternKernel,1.1493813726214142,0.20101710270577633,3.1909691268515
turnover_blend,2025-05-30,likelihood_noise,likelihood,HadamardGaussianLikelihood,0.006523179738006378,0.005546923716136464,0.007305018316378057
turnover_blend,2025-06-30,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,1.5346167006862177e-81,1.5346167006862177e-81,1.5346167006862177e-81
turnover_blend,2025-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,0.5405327334947193,0.5405327334947193,0.5405327334947193
turnover_blend,2025-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,0.16794610710326172,0.16794610710326172,0.16794610710326172
turnover_blend,2025-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,0.0015682584897551,0.0015682584897551,0.0015682584897551
turnover_blend,2025-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,0.9294064098364413,0.3130456284253866,1.7898449254302442
turnover_blend,2025-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.2,MaternKernel,0.26375071476171613,0.26375071476171613,0.26375071476171613
turnover_blend,2025-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel,MaternKernel,0.6146247320407028,0.12293318489273143,1.1351415188094087
turnover_blend,2025-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.3,RQKernel,0.006709488111129419,0.006709488111129419,0.006709488111129419
turnover_blend,2025-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.3.base_kernel,RQKernel,0.7669273076812941,0.4839774614145522,0.9674042136340999
turnover_blend,2025-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.4,LinearKernel,0.017855942885246005,0.017855942885246005,0.017855942885246005
turnover_blend,2025-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.5,ProductKernel,0.06661627847412042,0.06661627847412042,0.06661627847412042
turnover_blend,2025-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.0,MaternKernel,0.03032818638594182,0.03032818638594182,0.03032818638594182
turnover_blend,2025-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.1,MaternKernel,1.2385820028897165,0.291345124640516,3.082120047602265
turnover_blend,2025-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.6,ProductKernel,0.11022472009878903,0.11022472009878903,0.11022472009878903
turnover_blend,2025-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.0,MaternKernel,0.1401521567427131,0.1401521567427131,0.1401521567427131
turnover_blend,2025-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.0,MaternKernel,0.7790483743708525,0.7083794079284149,0.8271108565109814
turnover_blend,2025-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.1,RQKernel,0.7894979701567589,0.7158562087561848,0.833023971366975
turnover_blend,2025-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.7,ProductKernel,0.0027757416635699693,0.0027757416635699693,0.0027757416635699693
turnover_blend,2025-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.0,MaternKernel,0.7421529875865784,0.6534385413770698,0.8709174196953224
