variant,date,rmse,mae,nlpd,cover_1sd,cover_2sd
historical_mean,2025-05-30,0.034951745512970915,0.030401376664127653,-2.0500862628703893,0.8333333333333334,1.0
historical_mean,2025-06-30,0.011028310447123681,0.008440522076973968,-2.3550774404157386,1.0,1.0
historical_mean,2025-07-31,0.03419546376827779,0.027351215783978356,-2.1063142863560396,0.8333333333333334,1.0
historical_mean,2025-08-29,0.019649740203887062,0.015171436315612345,-2.2861403864173244,0.9444444444444444,1.0
historical_mean,2025-09-30,0.013907349869256357,0.011382441288717389,-2.348111041638857,1.0,1.0
historical_mean,2025-10-31,0.013481636197343872,0.010728897666028999,-2.3643196765074195,1.0,1.0
historical_mean,2025-11-28,0.011625700929323152,0.008912798579041118,-2.3830134777600227,1.0,1.0
historical_mean,2025-12-31,0.03230572272762712,0.024644448514883868,-2.182483543839166,0.8333333333333334,1.0
historical_mean,2026-01-30,0.03162463953182423,0.02605215226013544,-2.128256533395814,0.7222222222222222,1.0
historical_mean,2026-02-27,0.06186219957546183,0.05380354213390605,-1.3341721726780527,0.2777777777777778,0.8333333333333334
historical_mean,2026-03-31,0.0709028331692661,0.056573324397754275,-1.2960626942596347,0.3888888888888889,0.7222222222222222
historical_mean,2026-04-30,0.025018535889533077,0.017297672666777522,-2.2929780633033783,0.9444444444444444,1.0
positive_no_prior,2025-05-30,0.03376187295834405,0.029068459668431246,-2.0724499232964595,0.8333333333333334,1.0
positive_no_prior,2025-06-30,0.010866512875450538,0.008046164955299147,-2.3711998927146904,1.0,1.0
positive_no_prior,2025-07-31,0.033918144254543314,0.027048766481069398,-2.1611344164697384,0.6666666666666666,1.0
positive_no_prior,2025-08-29,0.018644307721777057,0.014251226072853439,-2.4833332839108704,0.9444444444444444,1.0
positive_no_prior,2025-09-30,0.014084071270695268,0.011176772844247883,-2.4137282757672542,1.0,1.0
positive_no_prior,2025-10-31,0.013682696441316746,0.010139128785199547,-2.49025627887895,1.0,1.0
positive_no_prior,2025-11-28,0.013720309979421783,0.010668866591503477,-2.6376021942870524,1.0,1.0
positive_no_prior,2025-12-31,0.03015689777740534,0.022807173248924992,-2.315729655375118,0.7222222222222222,1.0
positive_no_prior,2026-01-30,0.029705699584313912,0.024062618433079584,-2.232489715847211,0.6666666666666666,1.0
positive_no_prior,2026-02-27,0.06528427672305495,0.0566331143257197,-0.8737712831363649,0.1111111111111111,0.7222222222222222
positive_no_prior,2026-03-31,0.06952232925380479,0.055210296648262915,-1.028615220828239,0.3333333333333333,0.6111111111111112
positive_no_prior,2026-04-30,0.024714718445612023,0.017429007918362452,-2.3380004506419114,0.8888888888888888,1.0
positive_beta_prior,2025-05-30,0.03353972065919591,0.029049640842682276,-2.092473812675917,0.8333333333333334,1.0
positive_beta_prior,2025-06-30,0.010700380642644797,0.008147096508269702,-2.3779851112041666,1.0,1.0
positive_beta_prior,2025-07-31,0.034642679947649406,0.02768109471543643,-2.166894410702238,0.6666666666666666,1.0
positive_beta_prior,2025-08-29,0.01916632133138396,0.014666834038288556,-2.415312914138327,0.9444444444444444,1.0
positive_beta_prior,2025-09-30,0.014313380135252027,0.011270112259271901,-2.5711395445253835,1.0,1.0
positive_beta_prior,2025-10-31,0.013342783239813846,0.009986776172669333,-2.456800614511339,1.0,1.0
positive_beta_prior,2025-11-28,0.013082732852848422,0.010407086875291826,-2.606437954939739,1.0,1.0
positive_beta_prior,2025-12-31,0.030510615330612792,0.023088889871867364,-2.3342045278105226,0.7222222222222222,1.0
positive_beta_prior,2026-01-30,0.029963484349573313,0.024297561554417337,-2.230305461414235,0.5,1.0
positive_beta_prior,2026-02-27,0.06409634350991482,0.05583981263131905,-1.0214498966841368,0.16666666666666666,0.7222222222222222
positive_beta_prior,2026-03-31,0.07001629556217726,0.05545052974522817,-1.099617264605837,0.3333333333333333,0.6666666666666666
positive_beta_prior,2026-04-30,0.024003396950663933,0.016443519256855898,-2.3620105455061333,0.9444444444444444,1.0
