variant,date,window_index,outputscale_prior,scale_index,component,kernel_path,kernel_type,prior_median,learned_outputscale_mean,learned_outputscale_min,learned_outputscale_max
positive_no_prior_both,2025-05-30,0,lognormal_component_budget,0,time,covar_module.kernels.0.base_kernel.base_kernel.kernels.0,MaternKernel,0.1,0.10755612822191449,0.10755612822191449,0.10755612822191449
positive_no_prior_both,2025-05-30,0,lognormal_component_budget,1,etf,covar_module.kernels.0.base_kernel.base_kernel.kernels.1,MaternKernel,0.25,0.04974358013117323,0.04974358013117323,0.04974358013117323
positive_no_prior_both,2025-05-30,0,lognormal_component_budget,2,macro_matern,covar_module.kernels.0.base_kernel.base_kernel.kernels.2,MaternKernel,0.2,0.20987081075379982,0.20987081075379982,0.20987081075379982
positive_no_prior_both,2025-05-30,0,lognormal_component_budget,3,macro_rq,covar_module.kernels.0.base_kernel.base_kernel.kernels.3,RQKernel,0.1,0.05271763231282164,0.05271763231282164,0.05271763231282164
positive_no_prior_both,2025-05-30,0,lognormal_component_budget,4,macro_linear,covar_module.kernels.0.base_kernel.base_kernel.kernels.4,LinearKernel,0.1,0.04455959580554731,0.04455959580554731,0.04455959580554731
positive_no_prior_both,2025-05-30,0,lognormal_component_budget,5,time_x_etf,covar_module.kernels.0.base_kernel.base_kernel.kernels.5,ProductKernel,0.07,0.08247091554800548,0.08247091554800548,0.08247091554800548
positive_no_prior_both,2025-05-30,0,lognormal_component_budget,6,time_x_macro,covar_module.kernels.0.base_kernel.base_kernel.kernels.6,ProductKernel,0.09,0.24513670723649914,0.24513670723649914,0.24513670723649914
positive_no_prior_both,2025-05-30,0,lognormal_component_budget,7,macro_x_etf,covar_module.kernels.0.base_kernel.base_kernel.kernels.7,ProductKernel,0.09,0.03538252063995384,0.03538252063995384,0.03538252063995384
positive_no_prior_outputscale_only,2025-05-30,0,lognormal_component_budget,0,time,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,0.1,0.053470403756027525,0.053470403756027525,0.053470403756027525
positive_no_prior_outputscale_only,2025-05-30,0,lognormal_component_budget,1,etf,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,0.25,0.05441645757760349,0.05441645757760349,0.05441645757760349
positive_no_prior_outputscale_only,2025-05-30,0,lognormal_component_budget,2,macro_matern,covar_module.kernels.0.base_kernel.kernels.2,MaternKernel,0.2,1.5966497295277593,1.5966497295277593,1.5966497295277593
positive_no_prior_outputscale_only,2025-05-30,0,lognormal_component_budget,3,macro_rq,covar_module.kernels.0.base_kernel.kernels.3,RQKernel,0.1,0.05623669086347102,0.05623669086347102,0.05623669086347102
positive_no_prior_outputscale_only,2025-05-30,0,lognormal_component_budget,4,macro_linear,covar_module.kernels.0.base_kernel.kernels.4,LinearKernel,0.1,0.04132818281588339,0.04132818281588339,0.04132818281588339
positive_no_prior_outputscale_only,2025-05-30,0,lognormal_component_budget,5,time_x_etf,covar_module.kernels.0.base_kernel.kernels.5,ProductKernel,0.07,0.06047967735352446,0.06047967735352446,0.06047967735352446
positive_no_prior_outputscale_only,2025-05-30,0,lognormal_component_budget,6,time_x_macro,covar_module.kernels.0.base_kernel.kernels.6,ProductKernel,0.09,0.03839811639198425,0.03839811639198425,0.03839811639198425
positive_no_prior_outputscale_only,2025-05-30,0,lognormal_component_budget,7,macro_x_etf,covar_module.kernels.0.base_kernel.kernels.7,ProductKernel,0.09,0.05679150888167808,0.05679150888167808,0.05679150888167808
positive_no_prior_lengthscale_only,2025-05-30,0,lognormal_component_budget,0,time,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,0.1,0.09834622180365726,0.09834622180365726,0.09834622180365726
positive_no_prior_lengthscale_only,2025-05-30,0,lognormal_component_budget,1,etf,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,0.25,0.04219972958782229,0.04219972958782229,0.04219972958782229
positive_no_prior_lengthscale_only,2025-05-30,0,lognormal_component_budget,2,macro_matern,covar_module.kernels.0.base_kernel.kernels.2,MaternKernel,0.2,0.16767962739728184,0.16767962739728184,0.16767962739728184
positive_no_prior_lengthscale_only,2025-05-30,0,lognormal_component_budget,3,macro_rq,covar_module.kernels.0.base_kernel.kernels.3,RQKernel,0.1,0.05991439283348443,0.05991439283348443,0.05991439283348443
positive_no_prior_lengthscale_only,2025-05-30,0,lognormal_component_budget,4,macro_linear,covar_module.kernels.0.base_kernel.kernels.4,LinearKernel,0.1,0.07989866653722155,0.07989866653722155,0.07989866653722155
positive_no_prior_lengthscale_only,2025-05-30,0,lognormal_component_budget,5,time_x_etf,covar_module.kernels.0.base_kernel.kernels.5,ProductKernel,0.07,0.04346809946727383,0.04346809946727383,0.04346809946727383
positive_no_prior_lengthscale_only,2025-05-30,0,lognormal_component_budget,6,time_x_macro,covar_module.kernels.0.base_kernel.kernels.6,ProductKernel,0.09,0.13875627281927927,0.13875627281927927,0.13875627281927927
positive_no_prior_lengthscale_only,2025-05-30,0,lognormal_component_budget,7,macro_x_etf,covar_module.kernels.0.base_kernel.kernels.7,ProductKernel,0.09,0.03436886230433542,0.03436886230433542,0.03436886230433542
positive_no_prior_neither,2025-05-30,0,lognormal_component_budget,0,time,covar_module.kernels.0.kernels.0,MaternKernel,0.1,0.061378224283567935,0.061378224283567935,0.061378224283567935
positive_no_prior_neither,2025-05-30,0,lognormal_component_budget,1,etf,covar_module.kernels.0.kernels.1,MaternKernel,0.25,0.043099085822842616,0.043099085822842616,0.043099085822842616
positive_no_prior_neither,2025-05-30,0,lognormal_component_budget,2,macro_matern,covar_module.kernels.0.kernels.2,MaternKernel,0.2,0.6831304270036609,0.6831304270036609,0.6831304270036609
positive_no_prior_neither,2025-05-30,0,lognormal_component_budget,3,macro_rq,covar_module.kernels.0.kernels.3,RQKernel,0.1,0.060512467120349134,0.060512467120349134,0.060512467120349134
positive_no_prior_neither,2025-05-30,0,lognormal_component_budget,4,macro_linear,covar_module.kernels.0.kernels.4,LinearKernel,0.1,0.07151506305218934,0.07151506305218934,0.07151506305218934
positive_no_prior_neither,2025-05-30,0,lognormal_component_budget,5,time_x_etf,covar_module.kernels.0.kernels.5,ProductKernel,0.07,0.03270098161824115,0.03270098161824115,0.03270098161824115
positive_no_prior_neither,2025-05-30,0,lognormal_component_budget,6,time_x_macro,covar_module.kernels.0.kernels.6,ProductKernel,0.09,0.10027982070451996,0.10027982070451996,0.10027982070451996
