variant,date,window_index,time_mode,scale_structure,diagnostic,module_path,module_type,mean,min,max
positive_beta_prior__component_scales_lengthscale_only,2025-05-30,0,lengthscale_only,component_scales,time_varying_effective_lengthscale_train,covar_module.kernels.0,_Module,0.011465899963812372,0.002875677438657836,0.029152447713386796
positive_beta_prior__component_scales_lengthscale_only,2025-05-30,0,lengthscale_only,component_scales,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,0.0027423513386904135,0.0027423513386904135,0.0027423513386904135
positive_beta_prior__component_scales_lengthscale_only,2025-05-30,0,lengthscale_only,component_scales,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,0.4320284774651346,0.4320284774651346,0.4320284774651346
positive_beta_prior__component_scales_lengthscale_only,2025-05-30,0,lengthscale_only,component_scales,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,0.13597035213388944,0.13597035213388944,0.13597035213388944
positive_beta_prior__component_scales_lengthscale_only,2025-05-30,0,lengthscale_only,component_scales,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,0.0020715518576777266,0.0020715518576777266,0.0020715518576777266
positive_beta_prior__component_scales_lengthscale_only,2025-05-30,0,lengthscale_only,component_scales,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,0.9195164253759626,0.37440059975575607,1.7768541508268267
positive_beta_prior__component_scales_lengthscale_only,2025-05-30,0,lengthscale_only,component_scales,outputscale,covar_module.kernels.0.base_kernel.kernels.2,MaternKernel,0.12518058145808977,0.12518058145808977,0.12518058145808977
positive_beta_prior__component_scales_lengthscale_only,2025-05-30,0,lengthscale_only,component_scales,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel,MaternKernel,0.5996394857141252,0.1417521105171456,0.9996094746614259
positive_beta_prior__component_scales_lengthscale_only,2025-05-30,0,lengthscale_only,component_scales,outputscale,covar_module.kernels.0.base_kernel.kernels.3,RQKernel,0.008860787117691178,0.008860787117691178,0.008860787117691178
positive_beta_prior__component_scales_lengthscale_only,2025-05-30,0,lengthscale_only,component_scales,lengthscale,covar_module.kernels.0.base_kernel.kernels.3.base_kernel,RQKernel,0.7649544642508628,0.5382985608795136,0.9343613385305856
positive_beta_prior__component_scales_lengthscale_only,2025-05-30,0,lengthscale_only,component_scales,outputscale,covar_module.kernels.0.base_kernel.kernels.4,LinearKernel,0.023776439770992048,0.023776439770992048,0.023776439770992048
positive_beta_prior__component_scales_lengthscale_only,2025-05-30,0,lengthscale_only,component_scales,outputscale,covar_module.kernels.0.base_kernel.kernels.5,ProductKernel,0.03398470515123065,0.03398470515123065,0.03398470515123065
positive_beta_prior__component_scales_lengthscale_only,2025-05-30,0,lengthscale_only,component_scales,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.0,MaternKernel,0.05045950673123277,0.05045950673123277,0.05045950673123277
positive_beta_prior__component_scales_lengthscale_only,2025-05-30,0,lengthscale_only,component_scales,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.1,MaternKernel,1.0427525753157594,0.4203952468235361,2.480703052448506
positive_beta_prior__component_scales_lengthscale_only,2025-05-30,0,lengthscale_only,component_scales,outputscale,covar_module.kernels.0.base_kernel.kernels.6,ProductKernel,0.15105327229754129,0.15105327229754129,0.15105327229754129
positive_beta_prior__component_scales_lengthscale_only,2025-05-30,0,lengthscale_only,component_scales,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.0,MaternKernel,0.14038935066690936,0.14038935066690936,0.14038935066690936
positive_beta_prior__component_scales_lengthscale_only,2025-05-30,0,lengthscale_only,component_scales,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.0,MaternKernel,0.7883204012615246,0.7362959381362923,0.827420269824064
positive_beta_prior__component_scales_lengthscale_only,2025-05-30,0,lengthscale_only,component_scales,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.1,RQKernel,0.7956643585667481,0.7409068900177749,0.8300573537173981
