variant,date,window_index,scale_index,module_path,base_kernel_type,learned_outputscale_mean,learned_outputscale_min,learned_outputscale_max
positive_beta_prior,2025-05-30,0,32,covar_module.kernels.0.base_kernel.base_kernel.kernels.0,MaternKernel,0.03849060033670645,0.03849060033670645,0.03849060033670645
positive_beta_prior,2025-05-30,0,38,covar_module.kernels.0.base_kernel.base_kernel.kernels.1,MaternKernel,0.016076546658318876,0.016076546658318876,0.016076546658318876
positive_beta_prior,2025-05-30,0,42,covar_module.kernels.0.base_kernel.base_kernel.kernels.2,MaternKernel,0.05104616464638713,0.05104616464638713,0.05104616464638713
positive_beta_prior,2025-05-30,0,46,covar_module.kernels.0.base_kernel.base_kernel.kernels.3,RQKernel,0.027195289517236883,0.027195289517236883,0.027195289517236883
positive_beta_prior,2025-05-30,0,51,covar_module.kernels.0.base_kernel.base_kernel.kernels.4,LinearKernel,0.017408857525211742,0.017408857525211742,0.017408857525211742
positive_beta_prior,2025-05-30,0,54,covar_module.kernels.0.base_kernel.base_kernel.kernels.5,ProductKernel,0.06153782285163598,0.06153782285163598,0.06153782285163598
positive_beta_prior,2025-05-30,0,63,covar_module.kernels.0.base_kernel.base_kernel.kernels.6,ProductKernel,0.3102606968012263,0.3102606968012263,0.3102606968012263
positive_beta_prior,2025-05-30,0,80,covar_module.kernels.0.base_kernel.base_kernel.kernels.7,ProductKernel,0.019579992419387866,0.019579992419387866,0.019579992419387866
positive_beta_prior,2025-06-30,1,32,covar_module.kernels.0.base_kernel.base_kernel.kernels.0,MaternKernel,0.03824196868422299,0.03824196868422299,0.03824196868422299
positive_beta_prior,2025-06-30,1,38,covar_module.kernels.0.base_kernel.base_kernel.kernels.1,MaternKernel,0.017139243868685285,0.017139243868685285,0.017139243868685285
positive_beta_prior,2025-06-30,1,42,covar_module.kernels.0.base_kernel.base_kernel.kernels.2,MaternKernel,0.06780111720066305,0.06780111720066305,0.06780111720066305
positive_beta_prior,2025-06-30,1,46,covar_module.kernels.0.base_kernel.base_kernel.kernels.3,RQKernel,0.03045761902491588,0.03045761902491588,0.03045761902491588
positive_beta_prior,2025-06-30,1,51,covar_module.kernels.0.base_kernel.base_kernel.kernels.4,LinearKernel,0.01862777341977125,0.01862777341977125,0.01862777341977125
positive_beta_prior,2025-06-30,1,54,covar_module.kernels.0.base_kernel.base_kernel.kernels.5,ProductKernel,0.18136918688579817,0.18136918688579817,0.18136918688579817
positive_beta_prior,2025-06-30,1,63,covar_module.kernels.0.base_kernel.base_kernel.kernels.6,ProductKernel,0.40511965392724886,0.40511965392724886,0.40511965392724886
positive_beta_prior,2025-06-30,1,80,covar_module.kernels.0.base_kernel.base_kernel.kernels.7,ProductKernel,0.026830176812180626,0.026830176812180626,0.026830176812180626
positive_beta_prior,2025-07-31,2,32,covar_module.kernels.0.base_kernel.base_kernel.kernels.0,MaternKernel,0.04204843789719735,0.04204843789719735,0.04204843789719735
positive_beta_prior,2025-07-31,2,38,covar_module.kernels.0.base_kernel.base_kernel.kernels.1,MaternKernel,0.012443923481975639,0.012443923481975639,0.012443923481975639
positive_beta_prior,2025-07-31,2,42,covar_module.kernels.0.base_kernel.base_kernel.kernels.2,MaternKernel,0.04873866763465589,0.04873866763465589,0.04873866763465589
positive_beta_prior,2025-07-31,2,46,covar_module.kernels.0.base_kernel.base_kernel.kernels.3,RQKernel,0.025449862315128385,0.025449862315128385,0.025449862315128385
positive_beta_prior,2025-07-31,2,51,covar_module.kernels.0.base_kernel.base_kernel.kernels.4,LinearKernel,0.016586979319292466,0.016586979319292466,0.016586979319292466
positive_beta_prior,2025-07-31,2,54,covar_module.kernels.0.base_kernel.base_kernel.kernels.5,ProductKernel,0.06560098047026518,0.06560098047026518,0.06560098047026518
positive_beta_prior,2025-07-31,2,63,covar_module.kernels.0.base_kernel.base_kernel.kernels.6,ProductKernel,0.22396320913128617,0.22396320913128617,0.22396320913128617
positive_beta_prior,2025-07-31,2,80,covar_module.kernels.0.base_kernel.base_kernel.kernels.7,ProductKernel,0.01292569330289632,0.01292569330289632,0.01292569330289632
positive_beta_prior,2025-08-29,3,32,covar_module.kernels.0.base_kernel.base_kernel.kernels.0,MaternKernel,0.04713980269480654,0.04713980269480654,0.04713980269480654
positive_beta_prior,2025-08-29,3,38,covar_module.kernels.0.base_kernel.base_kernel.kernels.1,MaternKernel,0.014769535506405548,0.014769535506405548,0.014769535506405548
positive_beta_prior,2025-08-29,3,42,covar_module.kernels.0.base_kernel.base_kernel.kernels.2,MaternKernel,0.061713820654176854,0.061713820654176854,0.061713820654176854
positive_beta_prior,2025-08-29,3,46,covar_module.kernels.0.base_kernel.base_kernel.kernels.3,RQKernel,0.028510555782676153,0.028510555782676153,0.028510555782676153
positive_beta_prior,2025-08-29,3,51,covar_module.kernels.0.base_kernel.base_kernel.kernels.4,LinearKernel,0.017626668761313663,0.017626668761313663,0.017626668761313663
positive_beta_prior,2025-08-29,3,54,covar_module.kernels.0.base_kernel.base_kernel.kernels.5,ProductKernel,0.040815995016153836,0.040815995016153836,0.040815995016153836
positive_beta_prior,2025-08-29,3,63,covar_module.kernels.0.base_kernel.base_kernel.kernels.6,ProductKernel,0.32696544465147337,0.32696544465147337,0.32696544465147337
positive_beta_prior,2025-08-29,3,80,covar_module.kernels.0.base_kernel.base_kernel.kernels.7,ProductKernel,0.013140196421629006,0.013140196421629006,0.013140196421629006
positive_beta_prior,2025-09-30,4,32,covar_module.kernels.0.base_kernel.base_kernel.kernels.0,MaternKernel,0.03925446679309323,0.03925446679309323,0.03925446679309323
positive_beta_prior,2025-09-30,4,38,covar_module.kernels.0.base_kernel.base_kernel.kernels.1,MaternKernel,0.014254265123190911,0.014254265123190911,0.014254265123190911
positive_beta_prior,2025-09-30,4,42,covar_module.kernels.0.base_kernel.base_kernel.kernels.2,MaternKernel,0.040765548833994546,0.040765548833994546,0.040765548833994546
positive_beta_prior,2025-09-30,4,46,covar_module.kernels.0.base_kernel.base_kernel.kernels.3,RQKernel,0.023507573485210584,0.023507573485210584,0.023507573485210584
positive_beta_prior,2025-09-30,4,51,covar_module.kernels.0.base_kernel.base_kernel.kernels.4,LinearKernel,0.01646889004668518,0.01646889004668518,0.01646889004668518
positive_beta_prior,2025-09-30,4,54,covar_module.kernels.0.base_kernel.base_kernel.kernels.5,ProductKernel,0.202963800415279,0.202963800415279,0.202963800415279
positive_beta_prior,2025-09-30,4,63,covar_module.kernels.0.base_kernel.base_kernel.kernels.6,ProductKernel,0.2742734227418505,0.2742734227418505,0.2742734227418505
positive_beta_prior,2025-09-30,4,80,covar_module.kernels.0.base_kernel.base_kernel.kernels.7,ProductKernel,0.015563696992268217,0.015563696992268217,0.015563696992268217
positive_beta_prior,2025-10-31,5,32,covar_module.kernels.0.base_kernel.base_kernel.kernels.0,MaternKernel,0.04118141770301739,0.04118141770301739,0.04118141770301739
positive_beta_prior,2025-10-31,5,38,covar_module.kernels.0.base_kernel.base_kernel.kernels.1,MaternKernel,0.017795799666728302,0.017795799666728302,0.017795799666728302
positive_beta_prior,2025-10-31,5,42,covar_module.kernels.0.base_kernel.base_kernel.kernels.2,MaternKernel,0.0671527309046832,0.0671527309046832,0.0671527309046832
positive_beta_prior,2025-10-31,5,46,covar_module.kernels.0.base_kernel.base_kernel.kernels.3,RQKernel,0.03153197718033812,0.03153197718033812,0.03153197718033812
positive_beta_prior,2025-10-31,5,51,covar_module.kernels.0.base_kernel.base_kernel.kernels.4,LinearKernel,0.019495003749134994,0.019495003749134994,0.019495003749134994
positive_beta_prior,2025-10-31,5,54,covar_module.kernels.0.base_kernel.base_kernel.kernels.5,ProductKernel,0.06997544269475707,0.06997544269475707,0.06997544269475707
