variant,date,rmse,mae,nlpd,cover_1sd,cover_2sd
positive_beta_prior,2025-05-30,0.030825114289438085,0.026797657830303623,-2.142865458876556,0.8333333333333334,1.0
positive_beta_prior,2025-06-30,0.009661913785061333,0.007441946155043754,-2.4490581063863726,1.0,1.0
positive_beta_prior,2025-07-31,0.03618085805602754,0.02939625465818662,-2.095692737877047,0.7222222222222222,1.0
positive_beta_prior,2025-08-29,0.019050276261816934,0.014506853910475246,-2.3662441195395263,0.9444444444444444,1.0
positive_beta_prior,2025-09-30,0.014602143708617545,0.011762527070742646,-2.3954633512737953,1.0,1.0
positive_beta_prior,2025-10-31,0.014851321965741942,0.010631701027956138,-2.4824691849988882,0.9444444444444444,1.0
positive_beta_prior,2025-11-28,0.013099357123804728,0.010344666829052293,-2.425569943743917,1.0,1.0
positive_beta_prior,2025-12-31,0.03005465640245769,0.022935677345368333,-2.2750651266486464,0.7777777777777778,1.0
positive_beta_prior,2026-01-30,0.030211483453339374,0.02458201702097806,-2.209158378110342,0.7222222222222222,1.0
positive_beta_prior,2026-02-27,0.05854536579593673,0.05076251615610186,-1.2836855832422294,0.2222222222222222,0.7777777777777778
positive_beta_prior,2026-03-31,0.06620308939883471,0.052607895723196914,-1.409743631197028,0.3333333333333333,0.7777777777777778
positive_beta_prior,2026-04-30,0.027522737798363634,0.019904790627652876,-2.3271826291945255,0.8888888888888888,1.0
