variant,window_date,asset_id,target_winsorize_quantile,lower,upper,n_train,n_low_clipped,n_high_clipped,mean_before,mean_after,std_before,std_after,run_label
positive_beta_prior,2025-05-30,SPY,0.01,-0.0916624765591412,0.0882823308527651,50,1,1,0.0073172024961141,0.0073441559421411,0.0466096393384164,0.0464012328195457,winsor_01
positive_beta_prior,2025-05-30,MGK,0.01,-0.1205493378741811,0.1221812231903424,50,1,1,0.0096107706731049,0.0096406724803798,0.0608517592976469,0.0598685314040714,winsor_01
positive_beta_prior,2025-05-30,VTV,0.01,-0.0803057936431526,0.0921746892275494,50,1,1,0.0053124786513295,0.0048823102834261,0.0421715643239484,0.0411143078224847,winsor_01
positive_beta_prior,2025-05-30,IJR,0.01,-0.0935468540203695,0.1212828153204636,50,1,1,-0.000415757308875,-0.0003024496849612,0.0595752097620813,0.0592692613677772,winsor_01
positive_beta_prior,2025-05-30,IWM,0.01,-0.0992838383080972,0.1124058137803936,50,1,1,-0.001521636775114,-0.0015962330958252,0.060765746839857,0.0606018693502246,winsor_01
positive_beta_prior,2025-05-30,VNQ,0.01,-0.1095170765913441,0.1078529702679023,50,1,1,0.0013147227365438,0.0015885316782595,0.0587182767159342,0.0574946234383221,winsor_01
positive_beta_prior,2025-05-30,VNQI,0.01,-0.0994897971320153,0.1086018733062697,50,1,1,-0.0031414025929212,-0.0030689478030593,0.0489427116458966,0.046929108037834,winsor_01
positive_beta_prior,2025-05-30,VEA,0.01,-0.0970084309496603,0.1040953929139584,50,1,1,0.0032138677291956,0.0029467528179775,0.0462080120192339,0.0451753718781077,winsor_01
positive_beta_prior,2025-05-30,VWO,0.01,-0.0869269036795959,0.1096238388981248,50,1,1,-0.0013812432635037,-0.0016412138346097,0.0420374616356998,0.039427249398341,winsor_01
positive_beta_prior,2025-05-30,VSS,0.01,-0.1078544457205985,0.0991368038561247,50,1,1,0.0004489094207604,0.0002981026825721,0.0465865083159008,0.0460044697801891,winsor_01
positive_beta_prior,2025-05-30,BND,0.01,-0.0423909784802203,0.0368617918515763,50,1,1,-0.0032370550024694,-0.0032724120763639,0.0193006601119384,0.0190469834118831,winsor_01
positive_beta_prior,2025-05-30,IEF,0.01,-0.0464500325679815,0.0370617448479816,50,1,1,-0.0040674968930327,-0.0040725312441294,0.0229856658752434,0.0227081459359811,winsor_01
positive_beta_prior,2025-05-30,BNDX,0.01,-0.0349994474045521,0.0299773714870606,50,1,1,-0.0027348125869511,-0.0026753826062909,0.0159165520398299,0.0157548196683068,winsor_01
positive_beta_prior,2025-05-30,LQD,0.01,-0.064987533705523,0.0668172666781444,50,1,1,-0.0031524807335464,-0.0031810559939765,0.0298578487806932,0.0295483802236714,winsor_01
positive_beta_prior,2025-05-30,HYG,0.01,-0.0587696713116789,0.0547908523166379,50,1,1,5.276076257503259e-05,0.0001048403489069,0.0235232870346085,0.0222216218102854,winsor_01
positive_beta_prior,2025-05-30,EWX,0.01,-0.0804134206023963,0.089578145382861,50,1,1,0.0014349156952656,0.0013927030760855,0.0366838364460886,0.0353760968956345,winsor_01
positive_beta_prior,2025-05-30,VWOB,0.01,-0.0655727062924016,0.0747496372261641,50,1,1,-0.0017255849977273,-0.0020473157365861,0.0303420498213847,0.0293972001593982,winsor_01
positive_beta_prior,2025-05-30,HYEM,0.01,-0.0599388953984144,0.0713735112585255,50,1,1,-0.0011012187111369,-0.001683463277127,0.0263178821651754,0.0241775741689,winsor_01
positive_beta_prior,2025-06-30,SPY,0.01,-0.0915970218332865,0.0882443796432645,51,1,1,0.0081089263503402,0.00813589058206,0.0464863148614837,0.0462769442731073,winsor_01
positive_beta_prior,2025-06-30,MGK,0.01,-0.1203016422693969,0.1219640396337979,51,1,1,0.0106055934819128,0.0106355072546968,0.0606576555011281,0.0596716300015071,winsor_01
positive_beta_prior,2025-06-30,VTV,0.01,-0.0803002115600113,0.0917301598302211,51,1,1,0.0058599416437689,0.0054296011396639,0.0419303890145436,0.0408751901513667,winsor_01
positive_beta_prior,2025-06-30,IJR,0.01,-0.0933993581583367,0.1212509394828327,51,1,1,0.0003246960305295,0.0004380489956294,0.0592130334839524,0.0589039438632697,winsor_01
positive_beta_prior,2025-06-30,IWM,0.01,-0.099278608661196,0.1123244654388893,51,1,1,-0.000482389848773,-0.0005570160199526,0.0606111228413965,0.0604481897718985,winsor_01
positive_beta_prior,2025-06-30,VNQ,0.01,-0.1090778368641619,0.1076931274200219,51,1,1,0.0013546316736564,0.0016285501827757,0.0581288270048998,0.0568942209946423,winsor_01
positive_beta_prior,2025-06-30,VNQI,0.01,-0.0990288965443018,0.1082149061775991,51,1,1,-0.0022727694219576,-0.0022002856385823,0.0488463094374481,0.0468310562798784,winsor_01
positive_beta_prior,2025-06-30,VEA,0.01,-0.0969268154796181,0.1037412112079794,51,1,1,0.0037441223091348,0.0034769005091967,0.0459000700780636,0.0448650355883981,winsor_01
positive_beta_prior,2025-06-30,VWO,0.01,-0.086594312293947,0.1090259714195107,51,1,1,-0.0003407857045992,-0.0006008603055455,0.0422731045191081,0.0396912488089867,winsor_01
positive_beta_prior,2025-06-30,VSS,0.01,-0.1078029952795932,0.0989314689883966,51,1,1,0.0015140179528648,0.0013631508678425,0.0467413517922769,0.0461653014455585,winsor_01
positive_beta_prior,2025-06-30,BND,0.01,-0.0423502078603129,0.0367849425848377,51,1,1,-0.002946087753866,-0.0029814589762495,0.0192193373993275,0.0189653259755049,winsor_01
positive_beta_prior,2025-06-30,IEF,0.01,-0.0463797569291837,0.036986332116228,51,1,1,-0.00374357555125,-0.003748611916893,0.0228719303040328,0.0225933221487518,winsor_01
positive_beta_prior,2025-06-30,BNDX,0.01,-0.0349313008788856,0.0299698677988025,51,1,1,-0.002683896949562,-0.002624443187397,0.0157607775432734,0.0155973826710599,winsor_01
positive_beta_prior,2025-06-30,LQD,0.01,-0.0649350271518129,0.0667356016954241,51,1,1,-0.0027526165445376,-0.0027812032396457,0.0296953829910773,0.0293847606016449,winsor_01
positive_beta_prior,2025-06-30,HYG,0.01,-0.058506380499014,0.0545807039390056,51,1,1,0.0003421210937805,0.000394221520283,0.0233783731623775,0.0220700363240775,winsor_01
positive_beta_prior,2025-06-30,EWX,0.01,-0.0801777815749548,0.0892994322542154,51,1,1,0.0023956975282896,0.0023534680173051,0.0369576510013748,0.0356629824659256,winsor_01
positive_beta_prior,2025-06-30,VWOB,0.01,-0.0655700082513839,0.0744186425128416,51,1,1,-0.0012745926392981,-0.00159645212195,0.0302092748521305,0.0292670688322972,winsor_01
positive_beta_prior,2025-06-30,HYEM,0.01,-0.0599255010955553,0.0707659898475132,51,1,1,-0.0007961967046601,-0.0013786742616731,0.0261442778227483,0.0240037288944201,winsor_01
positive_beta_prior,2025-07-31,SPY,0.01,-0.0915315671074318,0.088206428433764,52,1,1,0.0083199983935457,0.0083469729961238,0.0460534693084444,0.0458420576663236,winsor_01
