variant,date,rmse,mae,nlpd,cover_1sd,cover_2sd
positive_beta_prior,2025-05-30,0.03205318528448528,0.027682324613199392,-2.114240780951348,0.8333333333333334,1.0
positive_beta_prior,2025-06-30,0.010174450560325206,0.007891858824885797,-2.386636188200529,1.0,1.0
positive_beta_prior,2025-07-31,0.035167329149101506,0.028397383282217605,-2.106932974240023,0.7777777777777778,1.0
positive_beta_prior,2025-08-29,0.01899014530096383,0.014343986193072296,-2.3259704111800037,0.9444444444444444,1.0
positive_beta_prior,2025-09-30,0.014661261705848132,0.011553049729326404,-2.372427373803311,1.0,1.0
positive_beta_prior,2025-10-31,0.013223578682528027,0.009691080842730142,-2.4177002223959114,1.0,1.0
positive_beta_prior,2025-11-28,0.012704034496490595,0.010028549602238318,-2.3758630213789336,1.0,1.0
positive_beta_prior,2025-12-31,0.03004196706101003,0.022829632041000344,-2.2667519381457644,0.8333333333333334,1.0
positive_beta_prior,2026-01-30,0.03047794086208704,0.024845333940224798,-2.1697878501814767,0.7222222222222222,1.0
positive_beta_prior,2026-02-27,0.05851558651489499,0.050587897350397086,-1.394652841364996,0.3333333333333333,0.8333333333333334
positive_beta_prior,2026-03-31,0.06594894619404992,0.05248391765394939,-1.4616339184621818,0.3888888888888889,0.8333333333333334
positive_beta_prior,2026-04-30,0.027342063425880105,0.01968165624026834,-2.2567067088044275,0.9444444444444444,1.0
