horizon,component,eigenvalue,variance_share,cumulative_variance_share
BME,1,4.174914277966908,0.8349828555933814,0.8349828555933814
BME,2,0.5877065239913934,0.11754130479827865,0.95252416039166
BME,3,0.21853194042422538,0.04370638808484506,0.996230548476505
BME,4,0.016797720708292906,0.0033595441416585797,0.9995900926181637
BME,5,0.002049536909182537,0.00040990738183650723,1.0000000000000002
3W-FRI,1,4.1267020850816385,0.8253404170163277,0.8253404170163277
3W-FRI,2,0.6158002788625676,0.12316005577251352,0.9485004727888412
3W-FRI,3,0.23612476141753086,0.04722495228350617,0.9957254250723474
3W-FRI,4,0.019306486453391326,0.003861297290678265,0.9995867223630257
3W-FRI,5,0.002066388184870874,0.0004132776369741748,0.9999999999999999
