horizon,asset_id,count,mean,std,min,p05,p50,p95,max,positive_share
BME,IJR,64,0.0047289851975502815,0.056198982056905086,-0.1007739656615988,-0.07796949946899603,0.00479791582684197,0.10353593629646297,0.12284453329676981,0.546875
BME,IWM,64,0.0044897774172723,0.05780069435172088,-0.09954006297815687,-0.08678567346598276,0.0055667217301861305,0.10620047085288453,0.11732929353519284,0.5625
BME,MGK,64,0.011042679214228118,0.05920600077433716,-0.13268639869085574,-0.08911664716157863,0.015624441802809197,0.10066441108607066,0.1394564917468888,0.59375
BME,SPY,64,0.009100605964704472,0.044394169175667866,-0.09486971111739906,-0.06077305071991455,0.014527865438529797,0.07681432690462223,0.10158472262278839,0.59375
BME,VTV,64,0.007706271417818603,0.039318175041606375,-0.08057925185033998,-0.05072458849896331,0.01667298570355691,0.0565272627772182,0.11395641787160926,0.59375
3W-FRI,IJR,93,0.003465627975728006,0.04704690903675287,-0.09853573594670151,-0.07551140256785287,0.011758414075442536,0.08048298993113517,0.11225894302133921,0.5913978494623656
3W-FRI,IWM,93,0.0034028267154476042,0.050477544156280287,-0.10717842914889131,-0.07749468090691829,0.011438488721332574,0.07639919699888569,0.13199864741941902,0.5806451612903226
3W-FRI,MGK,93,0.008278926131875341,0.05455972296154427,-0.12009789989267883,-0.08386723123783643,0.010157931017999111,0.10184057310177436,0.16800850950241242,0.5806451612903226
3W-FRI,SPY,93,0.006729107505503291,0.03910477356023617,-0.1017599240317365,-0.05775144018492029,0.008099381953742046,0.0704084258003979,0.1175351787661496,0.6021505376344086
3W-FRI,VTV,93,0.005631266260054227,0.03178933652042383,-0.0807658749306428,-0.05486201066546889,0.007840022233518873,0.051098033125233484,0.08723141284456948,0.6021505376344086
