experiment,date,diagnostic,module_path,module_type,mean,min,max
control,2026-04-30,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,256.8606170632573,256.8606170632573,256.8606170632573
control,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,0.0324206562870727,0.0324206562870727,0.0324206562870727
control,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,0.33755023367377,0.33755023367377,0.33755023367377
control,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,0.0683337395479883,0.0683337395479883,0.0683337395479883
control,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,0.9438585737409864,0.2328356978373696,2.1328037678855383
control,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.2,MaternKernel,0.9512857914057608,0.9512857914057608,0.9512857914057608
control,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel,MaternKernel,0.4986009128017581,0.0896185045402161,0.950889008751518
control,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.3,RQKernel,0.0594592421313338,0.0594592421313338,0.0594592421313338
control,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.3.base_kernel,RQKernel,0.5660217108575488,0.3437631884459438,0.7405547001860677
control,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.4,LinearKernel,0.083412255026542,0.083412255026542,0.083412255026542
control,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.5,ProductKernel,0.0126905040151437,0.0126905040151437,0.0126905040151437
control,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.0,MaternKernel,0.2131338102338531,0.2131338102338531,0.2131338102338531
control,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.1,MaternKernel,0.8464965856090867,0.2875456452298848,1.7237165748657872
control,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.6,ProductKernel,0.0268728436071836,0.0268728436071836,0.0268728436071836
control,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.0,MaternKernel,0.0583102765691027,0.0583102765691027,0.0583102765691027
control,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.0,MaternKernel,0.4905949672767616,0.2656988369952378,0.6158446020964329
control,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.1,RQKernel,0.5024885290501984,0.3311468984079068,0.5947318067113688
control,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.7,ProductKernel,1.532371825980727e-06,1.532371825980727e-06,1.532371825980727e-06
control,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.0,MaternKernel,0.5881222767989145,0.5298037136947272,0.6237800542086126
control,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.1,RQKernel,0.5918626813733705,0.578586108542531,0.6257691368291756
control,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.1,MaternKernel,1.03658990264686,0.3185315244692585,1.7292211684408965
control,2026-04-30,likelihood_noise,likelihood,HadamardGaussianLikelihood,0.0068911335766042,0.0062423340950109,0.0074009663357789
control,2026-05-29,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,165.546339503946,165.546339503946,165.546339503946
control,2026-05-29,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,0.0683645699893947,0.0683645699893947,0.0683645699893947
control,2026-05-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,0.2789033389114611,0.2789033389114611,0.2789033389114611
control,2026-05-29,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,0.0572234466603543,0.0572234466603543,0.0572234466603543
control,2026-05-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,0.9217514846211176,0.2774080352157831,2.109742364637875
control,2026-05-29,outputscale,covar_module.kernels.0.base_kernel.kernels.2,MaternKernel,0.9330274838557512,0.9330274838557512,0.9330274838557512
control,2026-05-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel,MaternKernel,0.4854107843297316,0.1016757089077623,0.9166499109167766
control,2026-05-29,outputscale,covar_module.kernels.0.base_kernel.kernels.3,RQKernel,0.0845829466112318,0.0845829466112318,0.0845829466112318
control,2026-05-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.3.base_kernel,RQKernel,0.5723413507761548,0.3930079702394077,0.7181483632170848
control,2026-05-29,outputscale,covar_module.kernels.0.base_kernel.kernels.4,LinearKernel,0.1304088201111329,0.1304088201111329,0.1304088201111329
control,2026-05-29,outputscale,covar_module.kernels.0.base_kernel.kernels.5,ProductKernel,0.0169432537731387,0.0169432537731387,0.0169432537731387
control,2026-05-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.0,MaternKernel,0.194932827318882,0.194932827318882,0.194932827318882
control,2026-05-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.1,MaternKernel,0.837050163370865,0.3266867911065353,1.711052578331426
control,2026-05-29,outputscale,covar_module.kernels.0.base_kernel.kernels.6,ProductKernel,0.0731194375160247,0.0731194375160247,0.0731194375160247
control,2026-05-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.0,MaternKernel,0.0688954668653603,0.0688954668653603,0.0688954668653603
control,2026-05-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.0,MaternKernel,0.513619947608259,0.3194038415479923,0.6159129955374892
control,2026-05-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.1,RQKernel,0.5259863095240169,0.3840567912766601,0.5964871572002951
control,2026-05-29,outputscale,covar_module.kernels.0.base_kernel.kernels.7,ProductKernel,3.82787514505279e-05,3.82787514505279e-05,3.82787514505279e-05
