experiment,date,diagnostic,module_path,module_type,mean,min,max
control,2026-04-30,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,256.8606170632573,256.8606170632573,256.8606170632573
control,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,0.03242065628707274,0.03242065628707274,0.03242065628707274
control,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,0.33755023367377,0.33755023367377,0.33755023367377
control,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,0.06833373954798834,0.06833373954798834,0.06833373954798834
control,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,0.9438585737409863,0.23283569783736963,2.1328037678855383
control,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.2,MaternKernel,0.9512857914057608,0.9512857914057608,0.9512857914057608
control,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel,MaternKernel,0.4986009128017581,0.08961850454021612,0.950889008751518
control,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.3,RQKernel,0.05945924213133387,0.05945924213133387,0.05945924213133387
control,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.3.base_kernel,RQKernel,0.5660217108575488,0.34376318844594383,0.7405547001860677
control,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.4,LinearKernel,0.08341225502654204,0.08341225502654204,0.08341225502654204
control,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.5,ProductKernel,0.012690504015143739,0.012690504015143739,0.012690504015143739
control,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.0,MaternKernel,0.21313381023385314,0.21313381023385314,0.21313381023385314
control,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.1,MaternKernel,0.8464965856090867,0.28754564522988485,1.7237165748657872
control,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.6,ProductKernel,0.026872843607183682,0.026872843607183682,0.026872843607183682
control,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.0,MaternKernel,0.058310276569102724,0.058310276569102724,0.058310276569102724
control,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.0,MaternKernel,0.49059496727676166,0.2656988369952378,0.6158446020964329
control,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.1,RQKernel,0.5024885290501984,0.33114689840790684,0.5947318067113688
control,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.7,ProductKernel,1.532371825980727e-06,1.532371825980727e-06,1.532371825980727e-06
control,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.0,MaternKernel,0.5881222767989145,0.5298037136947272,0.6237800542086126
control,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.1,RQKernel,0.5918626813733705,0.578586108542531,0.6257691368291756
control,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.1,MaternKernel,1.0365899026468601,0.31853152446925853,1.7292211684408965
control,2026-04-30,likelihood_noise,likelihood,HadamardGaussianLikelihood,0.006891133576604241,0.006242334095010912,0.007400966335778901
