experiment,date,diagnostic,module_path,module_type,mean,min,max
positive_no_prior,2026-04-30,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,216.1689666165261,216.1689666165261,216.1689666165261
positive_no_prior,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,0.0176447718245541,0.0176447718245541,0.0176447718245541
positive_no_prior,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,0.3590631279438882,0.3590631279438882,0.3590631279438882
positive_no_prior,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,0.0044105343629643,0.0044105343629643,0.0044105343629643
positive_no_prior,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,1.0063989000519595,0.2761647910104204,2.4488060163559147
positive_no_prior,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.2,MaternKernel,1.5350465643248767,1.5350465643248767,1.5350465643248767
positive_no_prior,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel,MaternKernel,0.5599857159043136,0.0716738594779359,1.116677469494128
positive_no_prior,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.3,RQKernel,0.0270216656892965,0.0270216656892965,0.0270216656892965
positive_no_prior,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.3.base_kernel,RQKernel,0.5580322480419636,0.3266275934030652,0.771719495174858
positive_no_prior,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.4,LinearKernel,0.0508177218101589,0.0508177218101589,0.0508177218101589
positive_no_prior,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.5,ProductKernel,0.0026487059076186,0.0026487059076186,0.0026487059076186
positive_no_prior,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.0,MaternKernel,0.2424676665870964,0.2424676665870964,0.2424676665870964
positive_no_prior,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.1,MaternKernel,0.8696351882481813,0.3008341021240832,1.9562752737604152
positive_no_prior,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.6,ProductKernel,0.0149893090872781,0.0149893090872781,0.0149893090872781
positive_no_prior,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.0,MaternKernel,0.045242462313047,0.045242462313047,0.045242462313047
positive_no_prior,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.0,MaternKernel,0.4785470429562045,0.2390391598251081,0.645513501260212
positive_no_prior,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.1,RQKernel,0.4962260673407,0.2812716354978592,0.6353476801601636
positive_no_prior,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.7,ProductKernel,8.118806155540428e-05,8.118806155540428e-05,8.118806155540428e-05
positive_no_prior,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.0,MaternKernel,0.5835186225641442,0.5491482505608009,0.6061536085833127
positive_no_prior,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.1,RQKernel,0.5864411248743774,0.5796100361916909,0.6074181531998246
positive_no_prior,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.1,MaternKernel,0.9141446046900508,0.4202563882857443,1.438432064752882
positive_no_prior,2026-04-30,likelihood_noise,likelihood,HadamardGaussianLikelihood,0.0070111262676543,0.0056472417276083,0.0089042514621077
positive_no_prior,2026-05-29,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,169.05734094424602,169.05734094424602,169.05734094424602
positive_no_prior,2026-05-29,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,0.0184820547705222,0.0184820547705222,0.0184820547705222
positive_no_prior,2026-05-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,0.3405539188367981,0.3405539188367981,0.3405539188367981
positive_no_prior,2026-05-29,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,0.0171838711614103,0.0171838711614103,0.0171838711614103
positive_no_prior,2026-05-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,0.9615017124973032,0.2041118184862541,2.1869747724694935
positive_no_prior,2026-05-29,outputscale,covar_module.kernels.0.base_kernel.kernels.2,MaternKernel,1.4878848833992375,1.4878848833992375,1.4878848833992375
positive_no_prior,2026-05-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel,MaternKernel,0.5312248350441516,0.0729572345914263,1.018750591003048
positive_no_prior,2026-05-29,outputscale,covar_module.kernels.0.base_kernel.kernels.3,RQKernel,0.0329423440519308,0.0329423440519308,0.0329423440519308
positive_no_prior,2026-05-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.3.base_kernel,RQKernel,0.5567489052190484,0.3291982006340186,0.7595586475488187
