date,asset_id,weight,strategy
2026-04-30,SPY,0.35000000029622064,gp_scenarios_riskfolio
2026-05-29,SPY,0.2784249629375374,gp_scenarios_riskfolio
2026-06-30,SPY,0.2971960167771128,gp_scenarios_riskfolio
2026-04-30,MGK,0.35000000030990847,gp_scenarios_riskfolio
2026-05-29,MGK,0.24032340817388775,gp_scenarios_riskfolio
2026-06-30,MGK,0.002803983153769811,gp_scenarios_riskfolio
2026-04-30,VTV,0.24679372956946946,gp_scenarios_riskfolio
2026-05-29,VTV,0.28671146633828076,gp_scenarios_riskfolio
2026-06-30,VTV,0.3500000000350444,gp_scenarios_riskfolio
2026-04-30,IWM,0.053206269824401416,gp_scenarios_riskfolio
2026-05-29,IWM,0.19454016255029402,gp_scenarios_riskfolio
2026-06-30,IWM,0.35000000003407306,gp_scenarios_riskfolio
2026-04-30,CASH,0.0,gp_scenarios_riskfolio
2026-05-29,CASH,0.0,gp_scenarios_riskfolio
2026-06-30,CASH,0.0,gp_scenarios_riskfolio
2026-04-30,SPY,0.3499999913083339,historical_y_ewma2_gerber1_riskfolio
2026-05-29,SPY,0.34999999983802305,historical_y_ewma2_gerber1_riskfolio
2026-06-30,SPY,0.2971960177004945,historical_y_ewma2_gerber1_riskfolio
2026-04-30,MGK,0.34999999907499163,historical_y_ewma2_gerber1_riskfolio
2026-05-29,MGK,0.3499999999644974,historical_y_ewma2_gerber1_riskfolio
2026-06-30,MGK,0.349999998326349,historical_y_ewma2_gerber1_riskfolio
2026-04-30,VTV,0.29719603412878326,historical_y_ewma2_gerber1_riskfolio
2026-05-29,VTV,0.2971960143529144,historical_y_ewma2_gerber1_riskfolio
2026-06-30,VTV,0.3499999995143092,historical_y_ewma2_gerber1_riskfolio
2026-04-30,IWM,0.0028039754878911483,historical_y_ewma2_gerber1_riskfolio
2026-05-29,IWM,0.002803985844565174,historical_y_ewma2_gerber1_riskfolio
2026-06-30,IWM,0.0028039844588474204,historical_y_ewma2_gerber1_riskfolio
2026-04-30,CASH,0.0,historical_y_ewma2_gerber1_riskfolio
2026-05-29,CASH,0.0,historical_y_ewma2_gerber1_riskfolio
2026-06-30,CASH,0.0,historical_y_ewma2_gerber1_riskfolio
2026-04-30,SPY,0.25,equal_weight
2026-05-29,SPY,0.25,equal_weight
2026-06-30,SPY,0.25,equal_weight
2026-04-30,MGK,0.25,equal_weight
2026-05-29,MGK,0.25,equal_weight
2026-06-30,MGK,0.25,equal_weight
2026-04-30,VTV,0.25,equal_weight
2026-05-29,VTV,0.25,equal_weight
2026-06-30,VTV,0.25,equal_weight
2026-04-30,IWM,0.25,equal_weight
2026-05-29,IWM,0.25,equal_weight
2026-06-30,IWM,0.25,equal_weight
2026-04-30,CASH,0.0,equal_weight
2026-05-29,CASH,0.0,equal_weight
2026-06-30,CASH,0.0,equal_weight
2026-04-30,SPY,0.45,schwab_moderate_aggressive_static
2026-05-29,SPY,0.45,schwab_moderate_aggressive_static
2026-06-30,SPY,0.45,schwab_moderate_aggressive_static
2026-04-30,MGK,0.15,schwab_moderate_aggressive_static
2026-05-29,MGK,0.15,schwab_moderate_aggressive_static
2026-06-30,MGK,0.15,schwab_moderate_aggressive_static
2026-04-30,VTV,0.2,schwab_moderate_aggressive_static
2026-05-29,VTV,0.2,schwab_moderate_aggressive_static
2026-06-30,VTV,0.2,schwab_moderate_aggressive_static
2026-04-30,IWM,0.15,schwab_moderate_aggressive_static
2026-05-29,IWM,0.15,schwab_moderate_aggressive_static
2026-06-30,IWM,0.15,schwab_moderate_aggressive_static
2026-04-30,CASH,0.05,schwab_moderate_aggressive_static
2026-05-29,CASH,0.05,schwab_moderate_aggressive_static
2026-06-30,CASH,0.05,schwab_moderate_aggressive_static
