experiment,date,diagnostic,module_path,module_type,mean,min,max
signed_lkj_eta_2,2026-05-29,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,271.3442474000312,271.3442474000312,271.3442474000312
signed_lkj_eta_2,2026-05-29,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,0.021295984561430687,0.021295984561430687,0.021295984561430687
signed_lkj_eta_2,2026-05-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,0.7931383841589047,0.7931383841589047,0.7931383841589047
signed_lkj_eta_2,2026-05-29,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,0.0001502624987491855,0.0001502624987491855,0.0001502624987491855
signed_lkj_eta_2,2026-05-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,0.9723412093323403,0.28370486063514705,1.422793867205195
signed_lkj_eta_2,2026-05-29,outputscale,covar_module.kernels.0.base_kernel.kernels.2,MaternKernel,0.7498066303532563,0.7498066303532563,0.7498066303532563
signed_lkj_eta_2,2026-05-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel,MaternKernel,0.5538450728461439,0.07801670417135445,1.0685428656201525
signed_lkj_eta_2,2026-05-29,outputscale,covar_module.kernels.0.base_kernel.kernels.3,RQKernel,0.01306511804462557,0.01306511804462557,0.01306511804462557
signed_lkj_eta_2,2026-05-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.3.base_kernel,RQKernel,0.6384541859559922,0.3041241162065388,0.9223485739638723
signed_lkj_eta_2,2026-05-29,outputscale,covar_module.kernels.0.base_kernel.kernels.4,LinearKernel,0.04346400327074317,0.04346400327074317,0.04346400327074317
signed_lkj_eta_2,2026-05-29,outputscale,covar_module.kernels.0.base_kernel.kernels.5,ProductKernel,9.709151090961185e-05,9.709151090961185e-05,9.709151090961185e-05
signed_lkj_eta_2,2026-05-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.0,MaternKernel,0.42029425391698905,0.42029425391698905,0.42029425391698905
signed_lkj_eta_2,2026-05-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.1,MaternKernel,0.8944635670478247,0.39527432543901747,1.1203417776947733
signed_lkj_eta_2,2026-05-29,outputscale,covar_module.kernels.0.base_kernel.kernels.6,ProductKernel,0.0017892840859669603,0.0017892840859669603,0.0017892840859669603
signed_lkj_eta_2,2026-05-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.0,MaternKernel,0.5956799023074775,0.5956799023074775,0.5956799023074775
signed_lkj_eta_2,2026-05-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.0,MaternKernel,0.567763514246576,0.3545795177245264,0.6669543090034953
signed_lkj_eta_2,2026-05-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.1,RQKernel,0.5864044857284967,0.49747661350126254,0.6361761869588537
signed_lkj_eta_2,2026-05-29,outputscale,covar_module.kernels.0.base_kernel.kernels.7,ProductKernel,3.324922219576458e-05,3.324922219576458e-05,3.324922219576458e-05
signed_lkj_eta_2,2026-05-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.0,MaternKernel,0.593735071705242,0.5369244187484672,0.6215088950462687
signed_lkj_eta_2,2026-05-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.1,RQKernel,0.5968240885576588,0.5814699520939999,0.6124640162258945
signed_lkj_eta_2,2026-05-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.1,MaternKernel,0.8882266792663549,0.512484345300359,1.084017792270063
signed_lkj_eta_2,2026-05-29,likelihood_noise,likelihood,HadamardGaussianLikelihood,0.0066663911129320455,0.006425776244909542,0.006892643964639158
