experiment,date,diagnostic,module_path,module_type,mean,min,max,task_id,asset_id,raw_monthly_std_floor,train_target_std,standardized_noise_variance_floor,standardized_noise_std_floor
signed_lkj_eta_2_task_noise_floor,2026-06-30,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,225.88365334436742,225.88365334436742,225.88365334436742,,,,,,
signed_lkj_eta_2_task_noise_floor,2026-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,0.05796327217689917,0.05796327217689917,0.05796327217689917,,,,,,
signed_lkj_eta_2_task_noise_floor,2026-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,0.39664132561917514,0.39664132561917514,0.39664132561917514,,,,,,
signed_lkj_eta_2_task_noise_floor,2026-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,0.00022386015288154622,0.00022386015288154622,0.00022386015288154622,,,,,,
signed_lkj_eta_2_task_noise_floor,2026-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,1.001126103203246,0.3251743256991023,1.5638678375188166,,,,,,
signed_lkj_eta_2_task_noise_floor,2026-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.2,MaternKernel,2.0098958221721324,2.0098958221721324,2.0098958221721324,,,,,,
signed_lkj_eta_2_task_noise_floor,2026-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel,MaternKernel,0.5270579072332505,0.07892541329170331,0.9716679169226249,,,,,,
signed_lkj_eta_2_task_noise_floor,2026-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.3,RQKernel,0.05262030746611917,0.05262030746611917,0.05262030746611917,,,,,,
signed_lkj_eta_2_task_noise_floor,2026-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.3.base_kernel,RQKernel,0.5828785664271615,0.25416092475101415,0.7982422645280649,,,,,,
signed_lkj_eta_2_task_noise_floor,2026-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.4,LinearKernel,0.06884399380758155,0.06884399380758155,0.06884399380758155,,,,,,
signed_lkj_eta_2_task_noise_floor,2026-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.5,ProductKernel,0.00010828860483738328,0.00010828860483738328,0.00010828860483738328,,,,,,
signed_lkj_eta_2_task_noise_floor,2026-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.0,MaternKernel,0.41528744270325135,0.41528744270325135,0.41528744270325135,,,,,,
signed_lkj_eta_2_task_noise_floor,2026-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.1,MaternKernel,0.9301882550358592,0.46085226381207156,1.382432158024197,,,,,,
signed_lkj_eta_2_task_noise_floor,2026-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.6,ProductKernel,0.02716075853250799,0.02716075853250799,0.02716075853250799,,,,,,
signed_lkj_eta_2_task_noise_floor,2026-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.0,MaternKernel,0.2406441804021689,0.2406441804021689,0.2406441804021689,,,,,,
signed_lkj_eta_2_task_noise_floor,2026-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.0,MaternKernel,0.5266003941510915,0.2631477199545526,0.6595201191380876,,,,,,
signed_lkj_eta_2_task_noise_floor,2026-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.1,RQKernel,0.5587494661828181,0.42050946181658705,0.623416610970555,,,,,,
signed_lkj_eta_2_task_noise_floor,2026-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.7,ProductKernel,3.0528754187525e-05,3.0528754187525e-05,3.0528754187525e-05,,,,,,
signed_lkj_eta_2_task_noise_floor,2026-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.0,MaternKernel,0.5940121630889421,0.5577288843090199,0.6247565801259721,,,,,,
signed_lkj_eta_2_task_noise_floor,2026-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.1,RQKernel,0.5970374956466906,0.5815010643804741,0.614175410435296,,,,,,
signed_lkj_eta_2_task_noise_floor,2026-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.1,MaternKernel,0.9427256967688543,0.5697238767668302,1.3138597810742192,,,,,,
signed_lkj_eta_2_task_noise_floor,2026-06-30,likelihood_noise,likelihood,HadamardGaussianLikelihood,0.04764666637025084,0.030761685119342956,0.06969908968882142,,,,,,
signed_lkj_eta_2_task_noise_floor,2026-06-30,task_noise_floor,likelihood.noise_covar,MultitaskHomoskedasticNoise,,,,0.0,SPY,0.01,0.043254827451823574,0.053447922889684314,0.23118806822516666
signed_lkj_eta_2_task_noise_floor,2026-06-30,task_noise_floor,likelihood.noise_covar,MultitaskHomoskedasticNoise,,,,1.0,MGK,0.01,0.057469281166851675,0.030278089618216722,0.17400600454644294
signed_lkj_eta_2_task_noise_floor,2026-06-30,task_noise_floor,likelihood.noise_covar,MultitaskHomoskedasticNoise,,,,2.0,VTV,0.01,0.03948244400059099,0.06414930327424624,0.25327712742023556
signed_lkj_eta_2_task_noise_floor,2026-06-30,task_noise_floor,likelihood.noise_covar,MultitaskHomoskedasticNoise,,,,3.0,IWM,0.01,0.060483271866622654,0.02733565263528014,0.16533497099912087
