experiment,date,diagnostic,module_path,module_type,mean,min,max
signed_lkj_eta_2,2026-01-30,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,278.7287645700915,278.7287645700915,278.7287645700915
signed_lkj_eta_2,2026-01-30,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,0.0286967204298142,0.0286967204298142,0.0286967204298142
signed_lkj_eta_2,2026-01-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,0.928722243268132,0.928722243268132,0.928722243268132
signed_lkj_eta_2,2026-01-30,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,0.2513889484518596,0.2513889484518596,0.2513889484518596
signed_lkj_eta_2,2026-01-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,0.5999151589155521,0.0808481632032951,1.0947184398061207
signed_lkj_eta_2,2026-01-30,outputscale,covar_module.kernels.0.base_kernel.kernels.2,RQKernel,0.0137129868626173,0.0137129868626173,0.0137129868626173
signed_lkj_eta_2,2026-01-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel,RQKernel,0.7098941777270429,0.3594705466736814,0.9337217803171952
signed_lkj_eta_2,2026-01-30,outputscale,covar_module.kernels.0.base_kernel.kernels.3,LinearKernel,0.0688654396567741,0.0688654396567741,0.0688654396567741
signed_lkj_eta_2,2026-01-30,outputscale,covar_module.kernels.0.base_kernel.kernels.4,ProductKernel,0.0014158893823922,0.0014158893823922,0.0014158893823922
signed_lkj_eta_2,2026-01-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.4.base_kernel.kernels.0,MaternKernel,0.6602008775601204,0.6602008775601204,0.6602008775601204
signed_lkj_eta_2,2026-01-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.4.base_kernel.kernels.1.kernels.0,MaternKernel,0.563303104899038,0.3075590002347045,0.7167917944127704
signed_lkj_eta_2,2026-01-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.4.base_kernel.kernels.1.kernels.1,RQKernel,0.6001506841984425,0.4973052271439546,0.6621722489002055
signed_lkj_eta_2,2026-01-30,likelihood_noise,likelihood,HadamardGaussianLikelihood,0.0066460346252399,0.0063558086362528,0.0068917133836019
signed_lkj_eta_2,2026-02-27,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,346.453456575354,346.453456575354,346.453456575354
signed_lkj_eta_2,2026-02-27,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,0.0126711281862895,0.0126711281862895,0.0126711281862895
signed_lkj_eta_2,2026-02-27,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,0.915101044634853,0.915101044634853,0.915101044634853
signed_lkj_eta_2,2026-02-27,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,0.0954634972964706,0.0954634972964706,0.0954634972964706
signed_lkj_eta_2,2026-02-27,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,0.6348508862898191,0.0758392361301736,1.2163269853171532
signed_lkj_eta_2,2026-02-27,outputscale,covar_module.kernels.0.base_kernel.kernels.2,RQKernel,0.0040057455458626,0.0040057455458626,0.0040057455458626
signed_lkj_eta_2,2026-02-27,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel,RQKernel,0.7495908770607347,0.3292567277790761,0.9925559463388844
signed_lkj_eta_2,2026-02-27,outputscale,covar_module.kernels.0.base_kernel.kernels.3,LinearKernel,0.0313234956019434,0.0313234956019434,0.0313234956019434
signed_lkj_eta_2,2026-02-27,outputscale,covar_module.kernels.0.base_kernel.kernels.4,ProductKernel,0.000470082560609,0.000470082560609,0.000470082560609
signed_lkj_eta_2,2026-02-27,lengthscale,covar_module.kernels.0.base_kernel.kernels.4.base_kernel.kernels.0,MaternKernel,0.3049320810187662,0.3049320810187662,0.3049320810187662
signed_lkj_eta_2,2026-02-27,lengthscale,covar_module.kernels.0.base_kernel.kernels.4.base_kernel.kernels.1.kernels.0,MaternKernel,0.5568772211313062,0.2617886419919738,0.7528969805544397
signed_lkj_eta_2,2026-02-27,lengthscale,covar_module.kernels.0.base_kernel.kernels.4.base_kernel.kernels.1.kernels.1,RQKernel,0.5900842433869482,0.4590089072379026,0.6883813216794192
signed_lkj_eta_2,2026-02-27,likelihood_noise,likelihood,HadamardGaussianLikelihood,0.0066364823762969,0.0061769559062061,0.0071471793260294
signed_lkj_eta_2,2026-03-31,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,233.6630750919814,233.6630750919814,233.6630750919814
signed_lkj_eta_2,2026-03-31,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,0.0896710420175083,0.0896710420175083,0.0896710420175083
signed_lkj_eta_2,2026-03-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,0.4908605597477722,0.4908605597477722,0.4908605597477722
signed_lkj_eta_2,2026-03-31,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,0.2690439587184029,0.2690439587184029,0.2690439587184029
signed_lkj_eta_2,2026-03-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,0.5942581651275081,0.1023229492918152,0.8882321551074098
signed_lkj_eta_2,2026-03-31,outputscale,covar_module.kernels.0.base_kernel.kernels.2,RQKernel,0.0480540597989975,0.0480540597989975,0.0480540597989975
signed_lkj_eta_2,2026-03-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel,RQKernel,0.6644768215443424,0.3930517416181616,0.7659172507822577
signed_lkj_eta_2,2026-03-31,outputscale,covar_module.kernels.0.base_kernel.kernels.3,LinearKernel,0.1441067251523931,0.1441067251523931,0.1441067251523931
signed_lkj_eta_2,2026-03-31,outputscale,covar_module.kernels.0.base_kernel.kernels.4,ProductKernel,0.0148508805490537,0.0148508805490537,0.0148508805490537
signed_lkj_eta_2,2026-03-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.4.base_kernel.kernels.0,MaternKernel,0.1771257221232616,0.1771257221232616,0.1771257221232616
signed_lkj_eta_2,2026-03-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.4.base_kernel.kernels.1.kernels.0,MaternKernel,0.5341743833283431,0.2924433746603107,0.6956882582320335
signed_lkj_eta_2,2026-03-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.4.base_kernel.kernels.1.kernels.1,RQKernel,0.577032381250475,0.4802847319297582,0.6578126215255987
signed_lkj_eta_2,2026-03-31,likelihood_noise,likelihood,HadamardGaussianLikelihood,0.0067369469371564,0.0066252994441548,0.0068734516179897
signed_lkj_eta_2,2026-04-30,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,300.95551634485605,300.95551634485605,300.95551634485605
signed_lkj_eta_2,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,0.0390797149471848,0.0390797149471848,0.0390797149471848
signed_lkj_eta_2,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,0.6887354243149792,0.6887354243149792,0.6887354243149792
signed_lkj_eta_2,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,0.1533073232203103,0.1533073232203103,0.1533073232203103
signed_lkj_eta_2,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,0.6096350130657897,0.0980475418154612,0.9502877817542638
signed_lkj_eta_2,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.2,RQKernel,0.0270067102210641,0.0270067102210641,0.0270067102210641
signed_lkj_eta_2,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel,RQKernel,0.686650103446576,0.3978441393368881,0.8931312232195725
signed_lkj_eta_2,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.3,LinearKernel,0.1029987030806964,0.1029987030806964,0.1029987030806964
signed_lkj_eta_2,2026-04-30,outputscale,covar_module.kernels.0.base_kernel.kernels.4,ProductKernel,0.0024274183834319,0.0024274183834319,0.0024274183834319
signed_lkj_eta_2,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.4.base_kernel.kernels.0,MaternKernel,0.2520745321055277,0.2520745321055277,0.2520745321055277
signed_lkj_eta_2,2026-04-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.4.base_kernel.kernels.1.kernels.0,MaternKernel,0.5453530598125587,0.2977815191657568,0.6693507692669507
