experiment,date,diagnostic,module_path,module_type,mean,min,max
signed_lkj_eta_2,2026-01-30,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,1.1435782837320551e-05,1.1435782837320551e-05,1.1435782837320551e-05
signed_lkj_eta_2,2026-01-30,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,0.1801573658692059,0.1801573658692059,0.1801573658692059
signed_lkj_eta_2,2026-01-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,0.0431221762411417,0.0431221762411417,0.0431221762411417
signed_lkj_eta_2,2026-01-30,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,0.00565320423023,0.00565320423023,0.00565320423023
signed_lkj_eta_2,2026-01-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,0.8272740331633035,0.5492650668490942,1.1052829994775129
signed_lkj_eta_2,2026-01-30,outputscale,covar_module.kernels.0.base_kernel.kernels.2,ProductKernel,0.0118547083156277,0.0118547083156277,0.0118547083156277
signed_lkj_eta_2,2026-01-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel.kernels.0,MaternKernel,0.0850666986251964,0.0850666986251964,0.0850666986251964
signed_lkj_eta_2,2026-01-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel.kernels.1,MaternKernel,0.8264274097939712,0.6771911002042583,0.975663719383684
signed_lkj_eta_2,2026-01-30,likelihood_noise,likelihood,HadamardGaussianLikelihood,0.0066990397157385,0.0066150200228941,0.0067393199756621
signed_lkj_eta_2,2026-02-27,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,1.580248459182913e-17,1.580248459182913e-17,1.580248459182913e-17
signed_lkj_eta_2,2026-02-27,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,0.1402973445752825,0.1402973445752825,0.1402973445752825
signed_lkj_eta_2,2026-02-27,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,0.045300772817255,0.045300772817255,0.045300772817255
signed_lkj_eta_2,2026-02-27,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,0.0043238229816941,0.0043238229816941,0.0043238229816941
signed_lkj_eta_2,2026-02-27,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,0.806402256110452,0.3672625751247907,1.2455419370961132
signed_lkj_eta_2,2026-02-27,outputscale,covar_module.kernels.0.base_kernel.kernels.2,ProductKernel,0.0149029905510974,0.0149029905510974,0.0149029905510974
signed_lkj_eta_2,2026-02-27,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel.kernels.0,MaternKernel,0.0624327480108918,0.0624327480108918,0.0624327480108918
signed_lkj_eta_2,2026-02-27,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel.kernels.1,MaternKernel,0.8314411717257166,0.5588777077775802,1.104004635673853
signed_lkj_eta_2,2026-02-27,likelihood_noise,likelihood,HadamardGaussianLikelihood,0.0067278578442673,0.0066515866936708,0.0067570847508156
