date,feature_set,equity
2026-01-30,compact_pruned,9951.131740639532
2026-02-27,compact_pruned,9433.768702829504
2026-03-31,compact_pruned,10361.226173670111
2026-04-30,compact_pruned,10910.068224959277
2026-05-29,compact_pruned,10983.331513295574
2026-06-30,compact_pruned,10953.164877399537
2026-01-30,liquidity_plus_volatility,9929.93216786079
2026-02-27,liquidity_plus_volatility,9412.892256741237
2026-03-31,liquidity_plus_volatility,10326.369182823128
2026-04-30,liquidity_plus_volatility,10745.425700267057
2026-05-29,liquidity_plus_volatility,10646.908764143645
2026-06-30,liquidity_plus_volatility,10632.141812239082
2026-01-30,liquidity,9934.779748541328
2026-02-27,liquidity,9417.977859405739
2026-03-31,liquidity,10313.114437239221
2026-04-30,liquidity,10911.341866252222
2026-05-29,liquidity,10811.30376606175
2026-06-30,liquidity,10789.123195993981
2026-01-30,macro_risk,9951.131740639532
2026-02-27,macro_risk,9433.768702829504
2026-03-31,macro_risk,10412.671448838562
2026-04-30,macro_risk,11026.299022990414
2026-05-29,macro_risk,11152.67564655899
2026-06-30,macro_risk,11122.043892618556
2026-01-30,momentum_plus_macro,10099.502383627463
2026-02-27,momentum_plus_macro,9574.224885654541
2026-03-31,momentum_plus_macro,10519.899099683034
2026-04-30,momentum_plus_macro,11139.845693810408
2026-05-29,momentum_plus_macro,11259.451361257616
2026-06-30,momentum_plus_macro,11228.526339164644
2026-01-30,momentum_plus_volatility,9934.779750206044
2026-02-27,momentum_plus_volatility,9418.169894063418
2026-03-31,momentum_plus_volatility,10321.729090343293
2026-04-30,momentum_plus_volatility,10817.223673076734
2026-05-29,momentum_plus_volatility,10718.048473870644
2026-06-30,momentum_plus_volatility,10700.512744801674
2026-01-30,momentum_trend,9894.482545578776
2026-02-27,momentum_trend,9380.00648108423
2026-03-31,momentum_trend,10290.291993458315
2026-04-30,momentum_trend,10808.928082970431
2026-05-29,momentum_trend,10709.828939278304
2026-06-30,momentum_trend,10686.299090264669
2026-01-30,target_history,9904.03111225383
2026-02-27,target_history,9388.407921984837
2026-03-31,target_history,10299.50875827185
2026-04-30,target_history,10819.67599872145
2026-05-29,target_history,10720.478315970078
2026-06-30,target_history,10705.693486280354
2026-01-30,target_plus_macro,9951.131740639532
2026-02-27,target_plus_macro,9433.768702829504
2026-03-31,target_plus_macro,10373.754905117301
2026-04-30,target_plus_macro,10985.08909460011
2026-05-29,target_plus_macro,11002.21342927896
2026-06-30,target_plus_macro,10971.994932586022
2026-01-30,target_plus_momentum,9924.208246851666
2026-02-27,target_plus_momentum,9408.148110288717
2026-03-31,target_plus_momentum,10302.350410160594
2026-04-30,target_plus_momentum,10773.28178227289
2026-05-29,target_plus_momentum,10674.50945348213
2026-06-30,target_plus_momentum,10651.12845813369
2026-01-30,target_plus_volatility,9897.07027448843
2026-02-27,target_plus_volatility,9382.050133220335
2026-03-31,target_plus_volatility,10273.771937152816
2026-04-30,target_plus_volatility,10817.981468857679
2026-05-29,target_plus_volatility,10721.651889984614
2026-06-30,target_plus_volatility,10701.395039547871
2026-01-30,volatility_regime,9934.779743477933
2026-02-27,volatility_regime,9418.275739255834
2026-03-31,volatility_regime,10330.199116485297
2026-04-30,volatility_regime,10744.339569596144
2026-05-29,volatility_regime,10645.832591702027
2026-06-30,volatility_regime,10631.15070728351
