feature_set,n_features,rmse,mae,mean_gaussian_nll,coverage_80,coverage_95,std_resid_std,mean_pred_std,gp_cum_return,gp_sharpe,gp_mean_ic,gp_median_ic,gp_max_drawdown,gp_avg_turnover,equal_weight_cum_return,historical_cum_return,excess_vs_equal_weight,excess_vs_historical,run_dir
liquidity_plus_volatility,8,0.0545701527419367,0.0433869518243547,-1.4934792030132045,0.75,0.875,1.2014933741901397,0.0451861376820934,0.0632141812239079,0.804528230579134,0.0,0.1999999999999999,-0.0520688260885613,0.3666071789532689,0.0908238611846343,0.0698344597940354,-0.0276096799607264,-0.006620278570127494,experiments/2026-07-us-equity-etf-features/runs/20260705T1540Z_block_liquidity_plus_volatility_signed_lkj_rank2_6w
target_history,2,0.0551643582188233,0.0441014739404099,-1.4805237184132862,0.7083333333333334,0.875,1.2644725791469165,0.0424144725393607,0.0705693486280349,0.876019763739034,0.0999999999999999,0.3,-0.0520619517875943,0.230634358678441,0.0908238611846343,0.0698344597940354,-0.020254512556599394,0.0007348888339995113,experiments/2026-07-us-equity-etf-features/runs/20260705T1540Z_block_target_history_signed_lkj_rank2_6w
target_plus_volatility,7,0.0552527411524505,0.0450600689640925,-1.4210694041325092,0.75,0.875,1.296699209826928,0.0438042961792747,0.0701395039547871,0.8739458068311863,0.0666666666666666,-0.0999999999999999,-0.0520376360866766,0.2115842727838473,0.0908238611846343,0.0698344597940354,-0.020684357229847197,0.0003050441607517079,experiments/2026-07-us-equity-etf-features/runs/20260705T1540Z_block_target_plus_volatility_signed_lkj_rank2_6w
volatility_regime,5,0.055791990486493,0.0444069939034389,-1.4021938989782583,0.7083333333333334,0.875,1.2881750552722049,0.0447639014533733,0.0631150707283509,0.8061173097527937,0.1666666666666666,0.3,-0.0519894771256683,0.2647419180296003,0.0908238611846343,0.0698344597940354,-0.027708790456283397,-0.006719389065684492,experiments/2026-07-us-equity-etf-features/runs/20260705T1540Z_block_volatility_regime_signed_lkj_rank2_6w
momentum_plus_volatility,9,0.0558427747914022,0.0457983744148887,-1.396484978747832,0.7083333333333334,0.875,1.2678707078405949,0.0464125462330521,0.0700512744801671,0.8853286286663036,0.1,0.3999999999999999,-0.0520001317726154,0.2225474149524759,0.0908238611846343,0.0698344597940354,-0.020772586704467202,0.00021681468613170274,experiments/2026-07-us-equity-etf-features/runs/20260705T1540Z_block_momentum_plus_volatility_signed_lkj_rank2_6w
target_plus_momentum,6,0.0567816458186684,0.046339603770587,-1.3435753571178684,0.7083333333333334,0.875,1.3574532063816107,0.0433346098591301,0.0651128458133691,0.8288017111758047,-0.3666666666666666,-0.4999999999999999,-0.0520001317713845,0.2597718617901864,0.0908238611846343,0.0698344597940354,-0.025711015371265203,-0.004721613980666298,experiments/2026-07-us-equity-etf-features/runs/20260705T1540Z_block_target_plus_momentum_signed_lkj_rank2_6w
momentum_trend,4,0.0583886919485922,0.0478071644880813,-1.325199043955977,0.6666666666666666,0.7916666666666666,1.3586798135568476,0.0447183834042704,0.0686299090264668,0.8496267488557718,-0.1666666666666666,-0.1999999999999999,-0.0519962577249107,0.3186926997000091,0.0908238611846343,0.0698344597940354,-0.022193952158167496,-0.0012045507675685907,experiments/2026-07-us-equity-etf-features/runs/20260705T1540Z_block_momentum_trend_signed_lkj_rank2_6w
target_plus_macro,10,0.0570658318034741,0.0409956587605227,-1.2774473834976494,0.75,0.8333333333333334,1.2832503957855543,0.0490554555802385,0.0971994932586022,1.19891792378163,0.3,0.6,-0.0519903716777423,0.3077910795580212,0.0908238611846343,0.0698344597940354,0.0063756320739678934,0.0273650334645668,experiments/2026-07-us-equity-etf-features/runs/20260705T1540Z_block_target_plus_macro_signed_lkj_rank2_6w
momentum_plus_macro,12,0.0599612297336309,0.0423225881924628,-1.2556915188743274,0.7916666666666666,0.8333333333333334,1.3093595765798451,0.0479002261092979,0.1228526339164644,1.5808397539713526,0.5,0.7999999999999999,-0.0520102355562053,0.3239085910625306,0.0908238611846343,0.0698344597940354,0.032028772731830094,0.053018174122429,experiments/2026-07-us-equity-etf-features/runs/20260705T1540Z_block_momentum_plus_macro_signed_lkj_rank2_6w
liquidity,3,0.0588517566343376,0.0473282045300801,-1.240817510724702,0.7083333333333334,0.75,1.4501156376357371,0.0431703740023045,0.0789123195993979,0.9776422552101736,-0.2333333333333333,-0.4999999999999999,-0.0520194611472356,0.4293015657148473,0.0908238611846343,0.0698344597940354,-0.011911541585236399,0.009077859805362506,experiments/2026-07-us-equity-etf-features/runs/20260705T1540Z_block_liquidity_signed_lkj_rank2_6w
macro_risk,8,0.059700644284437,0.041935474217827,-1.1099476893954017,0.7916666666666666,0.875,1.4121173075438116,0.0453003479129602,0.112204389261856,1.371992699466915,0.3333333333333333,0.7999999999999999,-0.0519903716777423,0.3029534885783658,0.0908238611846343,0.0698344597940354,0.021380528077221697,0.0423699294678206,experiments/2026-07-us-equity-etf-features/runs/20260705T1540Z_block_macro_risk_signed_lkj_rank2_6w
compact_pruned,22,0.0590733072450596,0.0419076940310926,-1.0743491477858225,0.7916666666666666,0.8333333333333334,1.387966856505675,0.0492040070391142,0.0953164877399539,1.2092884088780602,0.5,0.7999999999999999,-0.0519903716777423,0.2784895798896401,0.0908238611846343,0.0698344597940354,0.004492626555319595,0.0254820279459185,experiments/2026-07-us-equity-etf-features/runs/20260705T1540Z_block_compact_pruned_signed_lkj_rank2_6w
