date,label,equity
2026-01-30,Best NLL: liquidity+vol,9929.93216786079
2026-02-27,Best NLL: liquidity+vol,9412.892256741237
2026-03-31,Best NLL: liquidity+vol,10326.369182823128
2026-04-30,Best NLL: liquidity+vol,10745.425700267057
2026-05-29,Best NLL: liquidity+vol,10646.908764143645
2026-06-30,Best NLL: liquidity+vol,10632.141812239082
2026-01-30,Best IC/return: momentum+macro,10099.502383627463
2026-02-27,Best IC/return: momentum+macro,9574.224885654541
2026-03-31,Best IC/return: momentum+macro,10519.899099683034
2026-04-30,Best IC/return: momentum+macro,11139.845693810408
2026-05-29,Best IC/return: momentum+macro,11259.451361257616
2026-06-30,Best IC/return: momentum+macro,11228.526339164644
2026-01-30,Best standalone return: macro,9951.131740639532
2026-02-27,Best standalone return: macro,9433.768702829504
2026-03-31,Best standalone return: macro,10412.671448838562
2026-04-30,Best standalone return: macro,11026.299022990414
2026-05-29,Best standalone return: macro,11152.67564655899
2026-06-30,Best standalone return: macro,11122.043892618556
2026-01-30,Compact pruned,9951.131740639532
2026-02-27,Compact pruned,9433.768702829504
2026-03-31,Compact pruned,10361.226173670111
2026-04-30,Compact pruned,10910.068224959277
2026-05-29,Compact pruned,10983.331513295574
2026-06-30,Compact pruned,10953.164877399537
2026-01-30,Equal weight,9944.531433817197
2026-02-27,Equal weight,9425.808864293662
2026-03-31,Equal weight,10389.568455775721
2026-04-30,Equal weight,10898.539870659884
2026-05-29,Equal weight,10930.694390421553
2026-06-30,Equal weight,10908.23861184634
2026-01-30,Historical/EWMA,9951.131740639532
2026-02-27,Historical/EWMA,9433.777604635326
2026-03-31,Historical/EWMA,10268.9635736408
2026-04-30,Historical/EWMA,10812.918399824157
2026-05-29,Historical/EWMA,10713.78267297084
2026-06-30,Historical/EWMA,10698.344597940357
