feature_set,date,top_asset,bottom_asset,top_minus_bottom_realized
compact_pruned,2026-01-30,VTV,MGK,0.0839264073894848
compact_pruned,2026-02-27,VTV,MGK,0.0014474127893367994
compact_pruned,2026-03-31,MGK,IWM,0.022127198211695995
compact_pruned,2026-04-30,MGK,VTV,0.061843537146042904
compact_pruned,2026-05-29,VTV,MGK,0.06940482319033389
compact_pruned,2026-06-30,VTV,MGK,-0.0025233234185448998
liquidity_plus_volatility,2026-01-30,MGK,IWM,-0.0531954770319152
liquidity_plus_volatility,2026-02-27,VTV,SPY,0.0012456354568727984
liquidity_plus_volatility,2026-03-31,MGK,IWM,0.022127198211695995
liquidity_plus_volatility,2026-04-30,IWM,VTV,0.0202454085608017
liquidity_plus_volatility,2026-05-29,MGK,VTV,-0.06940482319033389
liquidity_plus_volatility,2026-06-30,MGK,IWM,0.0037604945733372
liquidity,2026-01-30,MGK,IWM,-0.0531954770319152
liquidity,2026-02-27,IWM,MGK,-2.9101092884203927e-05
liquidity,2026-03-31,VTV,IWM,-0.06671226292422339
liquidity,2026-04-30,MGK,VTV,0.061843537146042904
liquidity,2026-05-29,MGK,VTV,-0.06940482319033389
liquidity,2026-06-30,MGK,VTV,0.0025233234185448998
macro_risk,2026-01-30,VTV,MGK,0.0839264073894848
macro_risk,2026-02-27,VTV,MGK,0.0014474127893367994
macro_risk,2026-03-31,VTV,IWM,-0.06671226292422339
macro_risk,2026-04-30,MGK,VTV,0.061843537146042904
macro_risk,2026-05-29,VTV,MGK,0.06940482319033389
macro_risk,2026-06-30,VTV,MGK,-0.0025233234185448998
momentum_plus_macro,2026-01-30,IWM,MGK,0.0531954770319152
momentum_plus_macro,2026-02-27,VTV,MGK,0.0014474127893367994
momentum_plus_macro,2026-03-31,MGK,IWM,0.022127198211695995
momentum_plus_macro,2026-04-30,MGK,VTV,0.061843537146042904
momentum_plus_macro,2026-05-29,VTV,MGK,0.06940482319033389
momentum_plus_macro,2026-06-30,VTV,MGK,-0.0025233234185448998
momentum_plus_volatility,2026-01-30,MGK,VTV,-0.0839264073894848
momentum_plus_volatility,2026-02-27,MGK,IWM,2.9101092884203927e-05
momentum_plus_volatility,2026-03-31,MGK,IWM,0.022127198211695995
momentum_plus_volatility,2026-04-30,SPY,IWM,0.007777559053203202
momentum_plus_volatility,2026-05-29,MGK,VTV,-0.06940482319033389
momentum_plus_volatility,2026-06-30,MGK,IWM,0.0037604945733372
momentum_trend,2026-01-30,MGK,IWM,-0.0531954770319152
momentum_trend,2026-02-27,VTV,MGK,0.0014474127893367994
momentum_trend,2026-03-31,MGK,IWM,0.022127198211695995
momentum_trend,2026-04-30,MGK,IWM,0.0415981285852412
momentum_trend,2026-05-29,MGK,IWM,-0.0725830052926599
momentum_trend,2026-06-30,VTV,MGK,-0.0025233234185448998
target_history,2026-01-30,MGK,IWM,-0.0531954770319152
target_history,2026-02-27,MGK,IWM,2.9101092884203927e-05
target_history,2026-03-31,MGK,IWM,0.022127198211695995
target_history,2026-04-30,MGK,VTV,0.061843537146042904
target_history,2026-05-29,MGK,IWM,-0.0725830052926599
target_history,2026-06-30,MGK,IWM,0.0037604945733372
target_plus_macro,2026-01-30,VTV,MGK,0.0839264073894848
target_plus_macro,2026-02-27,VTV,MGK,0.0014474127893367994
target_plus_macro,2026-03-31,VTV,IWM,-0.06671226292422339
target_plus_macro,2026-04-30,MGK,VTV,0.061843537146042904
target_plus_macro,2026-05-29,VTV,MGK,0.06940482319033389
target_plus_macro,2026-06-30,VTV,MGK,-0.0025233234185448998
target_plus_momentum,2026-01-30,MGK,IWM,-0.0531954770319152
target_plus_momentum,2026-02-27,MGK,VTV,-0.0014474127893367994
target_plus_momentum,2026-03-31,SPY,IWM,-0.0157445709124045
target_plus_momentum,2026-04-30,SPY,IWM,0.007777559053203202
target_plus_momentum,2026-05-29,MGK,IWM,-0.0725830052926599
target_plus_momentum,2026-06-30,SPY,MGK,-0.0013523078561593
target_plus_volatility,2026-01-30,MGK,IWM,-0.0531954770319152
target_plus_volatility,2026-02-27,SPY,VTV,-0.0012456354568727984
target_plus_volatility,2026-03-31,SPY,IWM,-0.0157445709124045
target_plus_volatility,2026-04-30,MGK,VTV,0.061843537146042904
target_plus_volatility,2026-05-29,MGK,VTV,-0.06940482319033389
target_plus_volatility,2026-06-30,MGK,IWM,0.0037604945733372
volatility_regime,2026-01-30,MGK,IWM,-0.0531954770319152
volatility_regime,2026-02-27,MGK,IWM,2.9101092884203927e-05
volatility_regime,2026-03-31,MGK,IWM,0.022127198211695995
volatility_regime,2026-04-30,MGK,VTV,0.061843537146042904
volatility_regime,2026-05-29,MGK,VTV,-0.06940482319033389
volatility_regime,2026-06-30,MGK,IWM,0.0037604945733372
