,hist_weights,gp_weights
EWX,0.0806318555407844,0.03587267170309868
HYEM,0.07046185146925983,0.01863403781288112
HYG,0.04479837975255287,0.06127221516083359
IEF,0.061191198785468956,0.11322932483172336
IJR,0.0053423317523363925,0.02435002493021061
IWM,0.019361321055864054,0.04482485228598585
LQD,0.018726298760204218,0.10359506127424092
SPY,0.08232885714477868,0.11193538210713369
VEA,0.1705697711095416,0.17479705588815825
VNQ,2.61199305644692e-10,0.0026301036049796445
VNQI,0.03957569527100214,0.006020419997065068
VSS,0.12211875634835387,0.10467101791625262
VTV,0.10897331106565025,0.08270551478260321
VWO,0.12207629193397523,0.07856300421294816
VWOB,0.053844079749028245,0.03689931349188511
