asset,prediction,uncertainty,score,estimate,
HYG,0.006503081,0.012124959,0.5363384,rank7,
VTV,0.011897143,0.025393598,0.46850955,rank7,
VEA,0.009702574,0.021270748,0.45614636,rank3,
VSS,0.00947495,0.02175303,0.4355692,rank3,
IJR,0.014327362,0.036447458,0.39309633,rank7,
EMB,0.004309567,0.01626726,0.26492274,drop,
SPY,0.006000648,0.023143727,0.25927752,rank7,
LQD,0.003444866,0.014014966,0.2457991,drop,
VWO,0.005965459,0.031116823,0.1917117,rank3,
TIP,0.00152136,0.008325014,0.18274559,drop,
VNQ,0.004701449,0.03339836,0.14076884,rank3,
IEF,0.001017769,0.015348733,0.06630967,rank3,
MGK,0.001149884,0.03122475,0.036826026,drop,
EWX,-0.002825573,0.029767962,-0.09491992,rank3,
BNDX,-0.001948179,0.007063788,-0.27579802,drop,
VNQI,0.004877862,,,ewma2,
VWOB,0.004149639,,,ewma2,
BND,0.000205467,,,ewma2,Those that are dropped are rank7 estimates
,,,,,
,,,,,
,,,,,"df_long[""score""] = df_long[""prediction""] / df_long[""uncertainty""]"
,,,,,
,,,,,
,,,,,Next time do IWM for russel 2000
